County Community,High School,444,,undefined,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Santa Clara County Juvenile Hall,High School,453,,undefined,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Packard Children's Hospital/Stanford,High School,481,1,725 Welch Road,Palo Alto,Santa Clara County,CA,-1.22E+02,3.74E+01
Calaveras Hills,High School,505,,1331 East Calaveras Boulevard,Milpitas,Santa Clara County,CA,-1.22E+02,3.74E+01
Foothill High,High School,513,,230 Pala Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
New Valley Continuation High,High School,522,,1875 Lawrence Road,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Phoenix High,High School,533,,6150 Snell Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Wilson Alternative,High School,541,1,1840 Benton Street,Santa Clara,Santa Clara County,CA,-1.22E+02,3.73E+01
Pegasus High,High School,552,,1776 Educational Park Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Continuation Willow Glen Plus,High School,556,,2001 Cottle Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Alternative Liberty High,High School,561,,5845 Allen Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Apollo High,High School,569,,1835 Cunningham Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
San Jose High Academy Plus,High School,570,,275 North 24th Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Mt. Madonna High,High School,579,,8750 Hirasaki Court,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Escuela Popular Accelerated Family Learn,Elementary School ,581,1,467 North White Road,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
ACE Charter High,High School ,605,1,660 Sinclair Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Alta Vista High,High School,608,,1325 Bryant Avenue,Mountain View,Santa Clara County,CA,-1.22E+02,3.74E+01
Boynton High,High School,610,,901 Boynton Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Continuation Central High,High School,623,,85 Tilton Avenue,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.72E+01
Broadway High,High School,626,,4825 Speak Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Sunrise Middle,Middle School ,648,1,1149 East Julian Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Continuation Leland Plus,High School,653,,6677 Camden Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Empire Gardens Elementary,Elementary School,661,1,1060 East Empire Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Leadership Public Schools - San Jose,High School ,663,2,1881 Cunningham Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
James Lick High,High School,674,2,57 North White Road,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
William C. Overfelt High,High School,676,2,1835 Cunningham Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Katherine R. Smith Elementary,Elementary School,678,1,2025 Clarice Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Latino College Preparatory Academy,High School ,679,2,1966 Flint Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Yerba Buena High,High School,682,2,1855 Lucretia Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Gardner Elementary,Elementary School,689,1,502 Illinois Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
San Jose High,High School,690,2,275 North 24th Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
McKinley Elementary,Elementary School,691,1,651 Macredes Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Del Mar High,High School,694,3,1224 Del Mar Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Gunderson High,High School,695,3,620 Gaundabert Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Santa Clara County Special Education,High School,695,,undefined,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Santee Elementary,Elementary School,701,1,1313 Audubon Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Ernesto Galarza Elementary,Elementary School,704,1,1610 Bird Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
