REALM Charter High ,1," 2023 Eighth St. Berkeley, CA 94710 ",636, High School˜
Strobridge Elementary ,1," 21400 Bedford Dr. Castro Valley, CA 94546 ",691, Elementary School
Bowman Elementary ,1," 520 Jefferson St. Hayward, CA 94544 ",708, Elementary School
Cesar Chavez Middle ,1," 27845 Whitman Rd. Hayward, CA 94544 ",697, Middle School
Cherryland Elementary ,1," 585 Willow Ave. Hayward, CA 94541 ",702, Elementary School
Fairview Elementary ,1," 23515 Maud Ave. Hayward, CA 94541 ",691, Elementary School
Glassbrook Elementary ,1," 975 Schafer Rd. Hayward, CA 94544 ",651, Elementary School
Park Elementary ,1," 411 Larchmont St. Hayward, CA 94540 ",680, Elementary School
Ruus Elementary ,1," 28027 Dickens Ave. Hayward, CA 94540 ",673, Elementary School
Schafer Park Elementary ,1," 26268 Flamingo Ave. Hayward, CA 94544 ",707, Elementary School
Tennyson High ,1," 27035 Whitman Rd. Hayward, CA 94544 ",627, High School
Tyrrell Elementary ,1," 27000 Tyrrell Ave. Hayward, CA 94540 ",686, Elementary School
Winton Middle ,1," 119 Winton Ave. Hayward, CA 94540 ",698, Middle School
Colonial Acres Elementary ,1," 17115 Meekland Ave. Hayward, CA 94541 ",709, Elementary School
August Schilling Elementary ,1," 36901 Spruce St. Newark, CA 94560 ",718, Elementary School
Alternative Crossroads High ,1," 35753 Cedar Blvd. Newark, CA 94560 ",631, High School
Community School for Creative Education ,1," 8755 Fontaine St. Oakland, CA 94605 ",660, Elementary School˜
Urban Montessori Charter ,1," 5328 Brann St. Oakland, CA 94619 ",676, Elementary School˜
Emery Secondary ,1," 915 54th St. Oakland, CA 94608 ",625, High School
100 Black Men of the Bay Area Community ,1," 3400 Malcolm Ave. Oakland, CA 94607 ",633, Elementary School˜
Allendale Elementary ,1," 3670 Penniman Ave. Oakland, CA 94619 ",663, Elementary School
Alliance Academy ,1," 1800 98th Ave. Oakland, CA 94603 ",627, Middle School
ARISE High ,1," 3301 East 12th St., Ste. 205 Oakland, CA 94601 ",533, High School˜
Bret Harte Middle ,1," 3700 Coolidge Ave. Oakland, CA 94602 ",666, Middle School
