21st Century Learning Institute,939 Michigan Ave.,Beaumont,CA,92223,Riverside,-116.96887,33.934651
A Place to Grow,414 East Ojai Ave.,Ojai,CA,93023,Ventura,-119.24278,34.448006
A. E. Arnold Elementary,9281 Denni St.,Cypress,CA,90630,Orange,-118.05576,33.826825
A. G. Currie Middle,1402 Sycamore Ave.,Tustin,CA,92780,Orange,-117.82508,33.726011
A. J. Cook Elementary,9802 Woodbury Ave.,Garden Grove,CA,92844,Orange,-117.9584,33.763632
A. J. Dorsa Elementary,1290 Bal Harbor Dr.,San Jose,CA,95122,Santa Clara,-121.83791,37.339098
A. L. Conner Elementary,222 Fourth St.,Orange Cove,CA,93646,Fresno,-119.30945,36.629881
A. M. Thomas Middle,20979 Lobos Ct.,Lost Hills,CA,93249,Kern,-119.69955,35.615269
A. M. Winn Waldorf-Inspired,3351 Explorer Dr.,Sacramento,CA,95827,Sacramento,-121.32497,38.566539
A. Warren McClaskey Adult Center,5241 J St.,Sacramento,CA,95819,Sacramento,-121.43915,38.566467
Abbott Middle,600 36th Ave.,San Mateo,CA,94403,San Mateo,-122.30884,37.529525
Abby Reinke Elementary,43799 Sunny Meadows Dr.,Temecula,CA,92592,Riverside,-117.08607,33.491801
ABC Adult,12254 Cuesta Dr.,Cerritos,CA,90703,Los Angeles,-118.07128,33.878924
ABC Secondary (Alternative),16534 South Carmenita Rd.,Cerritos,CA,90703,Los Angeles,-118.04635,33.881547
Abraham Lincoln,15324 California Ave.,Paramount,CA,90723,Los Angeles,-118.15869,33.893657
Abraham Lincoln Alternative,3082 Glendower St.,Rosamond,CA,93560,Kern,-118.1693,34.865388
Abraham Lincoln Continuation,4341 Victoria Ave.,Riverside,CA,92507,Riverside,-117.36598,33.971135
Abraham Lincoln Elementary,4310 New York Ave.,La Crescenta,CA,91214,Los Angeles,-118.25298,34.228069
Abraham Lincoln Elementary,3101 Pacific View Dr.,Corona Del Mar,CA,92625,Orange,-117.8601,33.610317
Abraham Lincoln Elementary,425 South Sullivan,Santa Ana,CA,92704,Orange,-117.90255,33.740758
Abraham Lincoln Elementary,74-100 Rutledge Way,Palm Desert,CA,92260,Riverside,-116.37177,33.73332
Abraham Lincoln Elementary,3324 Glenmoor Dr.,Sacramento,CA,95827,Sacramento,-121.31276,38.571593
Abraham Lincoln Elementary,444 East Olive St.,Colton,CA,92324,San Bernardino,-117.31785,34.077502
Abraham Lincoln Elementary,21710 McClellan Rd.,Cupertino,CA,95014,Santa Clara,-122.05336,37.315469
Abraham Lincoln Elementary,850 West Ninth St.,Santa Rosa,CA,95401,Sonoma,-122.73655,38.44161
Abraham Lincoln High,555 Dana Ave.,San Jose,CA,95126,Santa Clara,-121.92388,37.329212
Abraham Lincoln Middle,1239 Nelson Blvd.,Selma,CA,93662,Fresno,-119.60203,36.585071
Abraham Lincoln Senior High,3501 North Broadway,Los Angeles,CA,90031,Los Angeles,-118.20386,34.073873
Abram Friedman Occupational,1646 South Olive St.,Los Angeles,CA,90015,Los Angeles,-118.26528,34.034589
Abraxas Continuation High,12450 Glenoak Rd.,Poway,CA,92064,San Diego,-117.06088,32.973675
Abraxis Charter,1207 Cleveland Ave.,Santa Rosa,CA,95401,Sonoma,-122.72653,38.447201
Acacia Elementary,1200 North Acacia Ave.,Fullerton,CA,92831,Orange,-117.89845,33.882093
Acacia Elementary,55 Norman Ave.,Thousand Oaks,CA,91360,Ventura,-118.87445,34.196534
Acacia Elementary Charter,1016 East Bianchi Rd.,Stockton,CA,95210,San Joaquin,-121.2917,37.995965
Acacia Middle,1200 East Acacia Ave.,Hemet,CA,92543,Riverside,-116.95826,33.744033
Acacia Middle Charter,1016 East Bianchi Rd.,Stockton,CA,95210,San Joaquin,-121.2917,37.995965
Academia Avance Charter,115 North Avenue 53,Highland Park,CA,90042,Los Angeles,-118.19842,34.107288
Academia Moderna,2410 Broadway,Walnut Park,CA,90255,Los Angeles,-118.22965,33.967144
Academies of Education and Empowerment at Carson High,22328 South Main St.,Carson,CA,90745,Los Angeles,-118.27585,33.823923
Academies of the Antelope Valley,6300 West Avenue L,Quartz Hill,CA,93536,Los Angeles,-118.24104,34.66014
Academy for Academic Excellence,17500 Mana Rd.,Apple Valley,CA,92307,San Bernardino,-117.2783,34.532814
Academy for Change,290 East Ave.,Chico,CA,95926,Butte,-121.85838,39.758522
Academy for Enriched Sciences,17551 Miranda St.,Encino,CA,91316,Los Angeles,-118.5153,34.17514
Academy for Multilingual Arts and Science at Mervyn M. Dymally High,8800 South San Pedro St.,Los Angeles,CA,90003,Los Angeles,-118.26875,33.95715
Academy of Arts and Sciences,555 Portola Dr.,San Francisco,CA,94131,San Francisco,-122.44998,37.745874
Academy of Arts and Sciences: Del Mar Elementary (K-5),850 Hampshire Rd. Ste. C,Thousand Oaks,CA,91361,San Diego,-118.83089,34.155695
Academy of Arts and Sciences: Del Mar Middle & High (6-12),850 Hampshire Rd. Ste. C,Thousand Oaks,CA,91361,San Diego,-118.83089,34.155695
Academy of Arts and Sciences: El Cajon Elementary (K-5),850 Hampshire Rd. Ste. C,Thousand Oaks,CA,91361,San Diego,-118.83089,34.155695
Academy of Arts and Sciences: El Cajon Middle and High (6-12),850 Hampshire Rd. Ste. C,Thousand Oaks,CA,91361,San Diego,-118.83089,34.155695
Academy of Arts and Sciences: Fresno,"900 Hampshire Rd., Ste. A",Westlake Village,CA,91361,Fresno,-118.83104,34.153991
Academy of Arts and Sciences: Los Angeles (9-12),17500 Burbank Blvd,Encino,CA,91316,Los Angeles,-118.51472,34.172041
Academy of Arts and Sciences: Los Angeles (K-8),17500 Burbank Blvd,Encino,CA,91361,Los Angeles,-118.51472,34.172041
Academy of Arts and Sciences: Oxnard & Ventura,850 Hampshire Rd. Ste.C,Westlake Village,CA,91361,Ventura,-118.83089,34.155695
Academy of Arts and Sciences: Sonoma,"850 Hampshire Rd., Ste. C",Thousand Oaks,CA,91361,Sonoma,-118.83089,34.155695
Academy of Arts and Sciences: Thousand Oaks & Simi Valley,850 Hampshire Rd. Ste. C,Westlake Village,CA,91361,Ventura,-118.83089,34.155695
Academy of Careers and Exploration,13943 Rivers Edge Rd.,Helendale,CA,92342,San Bernardino,-117.36048,34.734648
Academy of Medical Arts at Carson High,22328 South Main St.,Carson,CA,90745,Los Angeles,-118.27585,33.823923
Academy of Personalized Learning,2195 Larkspur Ln. Ste. 100,Redding,CA,96002,Shasta,-122.35497,40.575738
Academy of Science and Engineering,5753 Rodeo Rd.,Los Angeles,CA,90016,Los Angeles,-118.37128,34.02233
Academy of Technology & Leadership at Saticoy,760 Jazmin Ave.,Ventura,CA,93004,Ventura,-119.1602,34.284675
Academy of the Canyons,26455 Rockwell Canyon Rd.,Santa Clarita,CA,91355,Los Angeles,-118.56758,34.407188
Academy of the Redwoods,7351 Tompkins Hill Rd.,Eureka,CA,95501,Humboldt,-124.19641,40.698219
Academy Performing Preschool,12219 Second Ave.,Victorville,CA,92395,San Bernardino,-117.29844,34.47344
Acalanes Adult Education Center,1963 Tice Valley Blvd.,Walnut Creek,CA,94595,Contra Costa,-122.07251,37.876678
Acalanes Center for Independent Study,1963 Tice Valley Blvd.,Walnut Creek,CA,94595,Contra Costa,-122.07422,37.877664
Acalanes High,1200 Pleasant Hill Rd.,Lafayette,CA,94549,Contra Costa,-122.09906,37.904313
Accelerated Achievement Academy,1031 North State St.,Ukiah,CA,95482,Mendocino,-123.20958,39.162023
Accelerated Achievement Academy,1151 Buena Vista Rd.,Hollister,CA,95023,San Benito,-121.41773,36.857246
Accelerated Charter Elementary,119 East 37th St.,Los Angeles,CA,90011,Los Angeles,-118.27335,34.014903
Access County Community,200 Kalmus Dr.,Costa Mesa,CA,92628,Orange,-117.8806,33.672234
Access Juvenile Hall,"1715 East Wilshire Ave., Ste. 702",Santa Ana,CA,92705,Orange,-117.84364,33.732427
ACE Alum Rock,1990 Kammerer Ave,San Jose,CA,95116,Santa Clara,-121.84581,37.34901
ACE Charter High,1776 Educational Park Dr.,San Jose,CA,95133,Santa Clara,-121.85791,37.366747
ACE Empower Academy,625 South Sunset Ave.,San Jose,CA,95116,Santa Clara,-121.8446,37.348601
ACE Franklin McKinley,1665 Santee Dr.,San Jose,CA,95112,Santa Clara,-121.84531,37.328016
ACE Inspire Academy,110 East Hedding St.,San Jose,CA,95112,Santa Clara,-121.90113,37.354436
Achieve Academy,1700 28th Ave.,Oakland,CA,94601,Alameda,-122.22696,37.782892
Achieve Charter School of Paradise Inc.,771 Elliott Rd.,Paradise,CA,95969,Butte,-121.62125,39.759496
ACORN Woodland Elementary,1025 81st Ave.,Oakland,CA,94621,Alameda,-122.18605,37.752862
Ada Clegg Elementary,6311 Larchwood Dr.,Huntington Beach,CA,92647,Orange,-118.01978,33.746947
Ada Givens Elementary,2900 Green St.,Merced,CA,95340,Merced,-120.45375,37.305052
Ada S. Nelson Elementary,8140 South Vicki Dr.,Whittier,CA,90606,Los Angeles,-118.07567,33.970702
Ada W. Harris Elementary,1508 Windsor Rd.,Cardiff-by-the-Sea,CA,92007,San Diego,-117.27349,33.03128
Adaline E. Kent Middle,800 College Ave.,Kentfield,CA,94904,Marin,-122.54926,37.952639
Adam (William Laird) Elementary,500 West Windsor,Santa Maria,CA,93458,Santa Barbara,-120.4426,34.9356
Adams (J. Douglas) Middle,401 American Ave.,Brentwood,CA,94513,Contra Costa,-121.75556,37.918977
Adams Elementary,2850 Club House Rd.,Costa Mesa,CA,92626,Orange,-117.93196,33.674343
Adams Elementary,2130 South Raitt St.,Santa Ana,CA,92704,Orange,-117.89608,33.717824
Adams Elementary,8362 Colorado Ave.,Riverside,CA,92504,Riverside,-117.43552,33.944767
Adams Elementary,4672 35th St.,San Diego,CA,92116,San Diego,-117.11786,32.76156
