Alameda County Juvenile Hall/Court,High School,362,,2500 Fairmont Drive,San Leandro,Alameda County,CA,-1.22E+02,3.77E+01
Oakland International High,High School,374,1,4521 Webster Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Del Valle Continuation High,High School,477,,2253 5th Street,Livermore,Alameda County,CA,-1.22E+02,3.77E+01
Alameda County Community,High School,493,,313 West Winton Avenue,Hayward,Alameda County,CA,-1.22E+02,3.77E+01
California School for the Blind,High School,493,,500 Walnut Avenue,Fremont,Alameda County,CA,-1.22E+02,3.76E+01
Brenkwitz High,High School,499,,22100 Princeton Street,Hayward,Alameda County,CA,-1.22E+02,3.77E+01
Alternative Street Academy,High School,504,,417 29th Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Continuation Royal Sunset,High School,505,,20450 Royal Avenue,Hayward,Alameda County,CA,-1.22E+02,3.77E+01
Castlemont High,High School,509,1,8601 MacArthur Boulevard,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
McClymonds High,High School,513,1,2607 Myrtle Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Rudsdale Continuation,High School,515,1,8251 Fontaine Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
ARISE High,High School ,533,1,3301 East 12th Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Core Learning Academy at Conley-Caraball,High School,536,,541 Blanche Street,Hayward,Alameda County,CA,-1.22E+02,3.76E+01
Redwood Continuation High,High School,541,,18400 Clifton Way,Castro Valley,Alameda County,CA,-1.22E+02,3.77E+01
Bay Area School of Enterprise,High School ,543,,1900 3rd Street,Alameda,Alameda County,CA,-1.22E+02,3.78E+01
Rise Community,Elementary School,555,1,8521 A Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
California School for the Deaf-Fremont,High School,560,,39350 Gallaudet Drive,Fremont,Alameda County,CA,-1.22E+02,3.76E+01
Continuation Valley High,High School,561,,6901 York Drive,Dublin,Alameda County,CA,-1.22E+02,3.77E+01
Village High,High School,564,,4645 Bernal Avenue,Pleasanton,Alameda County,CA,-1.22E+02,3.77E+01
Ralph J. Bunche High,High School,572,1,1240 18th Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Continuation Lincoln High,High School,574,,2600 Teagarden Street,San Leandro,Alameda County,CA,-1.22E+02,3.77E+01
Decoto School for Independent Study,High School,575,1,600 G Street,Union City,Alameda County,CA,-1.22E+02,3.76E+01
West Oakland Middle,Middle School,575,1,991 14th Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Continuation Island High,High School,576,,1900 3rd Street,Alameda,Alameda County,CA,-1.22E+02,3.78E+01
Continuation Bridgepoint High,High School,579,,35753 Cedar Boulevard,Newark,Alameda County,CA,-1.22E+02,3.75E+01
Millennium High Alternative,High School,580,,760 Magnolia Avenue,Piedmont,Alameda County,CA,-1.22E+02,3.78E+01
Futures Elementary,Elementary School,588,1,6701 International Boulevard,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Lafayette Elementary,Elementary School,605,1,1700 Market Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Continuation Robertson High,High School,619,,4455 Seneca Park Avenue,Fremont,Alameda County,CA,-1.22E+02,3.75E+01
Frick Middle,Middle School,621,1,2845 64th Avenue,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Emery Secondary,High School,625,1,915 54th Street,Oakland,Alameda County,CA,-1.22E+02,3.78E+01
Alliance Academy,Middle School,627,1,1800 98th Avenue,Oakland,Alameda County,CA,-1.22E+02,3.77E+01
Tennyson High,High School,627,1,27035 Whitman Street,Hayward,Alameda County,CA,-1.22E+02,3.76E+01
Reach Academy,Elementary School,628,1,9860 Sunnyside Street,Oakland,Alameda County,CA,-1.22E+02,3.77E+01
Alternative Crossroads High,High School,631,1,35753 Cedar Boulevard,Newark,Alameda County,CA,-1.22E+02,3.75E+01
