Abbott Middle,Middle School,798,6,600 36th Avenue,San Mateo,San Mateo County,CA,-1.22E+02,3.75E+01
Adelante Spanish Immersion,Elementary School,839,7,3150 Granger Way,Redwood City,San Mateo County,CA,-1.22E+02,3.75E+01
Albion H. Horrall Elementary,Elementary School,746,2,949 Ocean View Avenue,San Mateo,San Mateo County,CA,-1.22E+02,3.76E+01
Alta Loma Middle,Middle School,845,8,116 Romney Avenue,South San Francisco,San Mateo County,CA,-1.22E+02,3.77E+01
Alvin S. Hatch Elementary,Elementary School,770,3,490 Miramontes Avenue,Half Moon Bay,San Mateo County,CA,-1.22E+02,3.75E+01
Aragon High,High School,849,9,900 Alameda de las Pulgas,San Mateo,San Mateo County,CA,-1.22E+02,3.76E+01
Arundel Elementary,Elementary School ,946,10,200 Arundel Road,San Carlos,San Mateo County,CA,-1.22E+02,3.75E+01
Aspire East Palo Alto Charter,Elementary School ,822,6,1286 Runnymede Street,East Palo Alto,San Mateo County,CA,-1.22E+02,3.75E+01
Aspire East Palo Alto Phoenix Academy,High School ,819,8,1039 Garden Street,East Palo Alto,San Mateo County,CA,-1.22E+02,3.75E+01
Audubon Elementary,Elementary School,903,9,841 Gull Avenue,Foster City,San Mateo County,CA,-1.22E+02,3.76E+01
Bayshore Elementary,Elementary School,772,3,155 Oriente Street,Daly City,San Mateo County,CA,-1.22E+02,3.77E+01
Baywood Elementary,Elementary School,932,10,600 Alameda de las Pulgas,San Mateo,San Mateo County,CA,-1.22E+02,3.76E+01
Belle Air Elementary,Elementary School,791,4,450 3rd Avenue,San Bruno,San Mateo County,CA,-1.22E+02,3.76E+01
Belle Haven Elementary,Elementary School,661,1,415 Ivy Drive,Menlo Park,San Mateo County,CA,-1.22E+02,3.75E+01
Benjamin Franklin Intermediate,Middle School,769,4,700 Stewart Avenue,Broadmoor,San Mateo County,CA,-1.22E+02,3.77E+01
Beresford Elementary,Elementary School,831,6,300 28th Avenue,San Mateo,San Mateo County,CA,-1.22E+02,3.75E+01
Borel Middle,Middle School,828,7,425 Barneson Avenue,San Mateo,San Mateo County,CA,-1.22E+02,3.75E+01
Bowditch Middle,Middle School,905,9,1450 Tarpon Street,Foster City,San Mateo County,CA,-1.22E+02,3.76E+01
Brewer Island Elementary,Elementary School,950,10,1151 Polynesia Drive,Foster City,San Mateo County,CA,-1.22E+02,3.76E+01
Brisbane Elementary,Elementary School,837,7,500 San Bruno Avenue,Brisbane,San Mateo County,CA,-1.22E+02,3.77E+01
Brittan Acres Elementary,Elementary School ,891,9,2000 Belle Avenue,San Carlos,San Mateo County,CA,-1.22E+02,3.75E+01
Buri Buri Elementary,Elementary School,873,8,120 El Campo Drive,South San Francisco,San Mateo County,CA,-1.22E+02,3.77E+01
Burlingame High,High School,870,10,1 Mangini Way,Burlingame,San Mateo County,CA,-1.22E+02,3.76E+01
Burlingame Intermediate,Middle School,903,9,1715 Quesada Way,Burlingame,San Mateo County,CA,-1.22E+02,3.76E+01
Cabrillo Elementary,Elementary School,889,9,601 Crespi Drive,Pacifica,San Mateo County,CA,-1.22E+02,3.76E+01
California Virtual Academy @ San Mateo,High School ,739,4,2360 Shasta Way,Simi Valley,Ventura County,CA,-1.19E+02,3.43E+01
Camp Glenwood,High School,,,400 Log Cabin Ranch Road,La Honda,San Mateo County,CA,-1.22E+02,3.73E+01
Canyon Oaks Youth Center,High School,,,400 Edmonds Road,Redwood City,San Mateo County,CA,-1.22E+02,3.75E+01
Capuchino High,High School,791,7,1501 Magnolia Avenue,San Bruno,San Mateo County,CA,-1.22E+02,3.76E+01
Carlmont High,High School,878,10,1400 Alameda de las Pulgas,Belmont,San Mateo County,CA,-1.22E+02,3.75E+01
Central Elementary,Elementary School,936,10,525 Middle Road,Belmont,San Mateo County,CA,-1.22E+02,3.75E+01
Central Middle,Middle School,899,9,828 Chestnut Street,San Carlos,San Mateo County,CA,-1.22E+02,3.75E+01
Cesar Chavez Elementary,Middle School,640,1,2450 Ralmar Avenue,East Palo Alto,San Mateo County,CA,-1.22E+02,3.75E+01
Cipriani Elementary,Elementary School,910,9,2525 Buena Vista Avenue,Belmont,San Mateo County,CA,-1.22E+02,3.75E+01
Clifford Elementary,Elementary School,818,6,225 Clifford Avenue,Redwood City,San Mateo County,CA,-1.22E+02,3.75E+01
College Park Elementary,Elementary School,892,9,715 Indian Avenue,San Mateo,San Mateo County,CA,-1.22E+02,3.76E+01
Continuation Baden High,High School,415,,825 Southwood Drive,South San Francisco,San Mateo County,CA,-1.22E+02,3.76E+01
Corte Madera,Middle School,937,10,4575 Alpine Road,Portola Valley,San Mateo County,CA,-1.22E+02,3.74E+01
Costano Elementary,Elementary School,765,3,2695 Fordham Street,East Palo Alto,San Mateo County,CA,-1.22E+02,3.75E+01
