Sequoia Community Day ,1," 763 Green St. East Palo Alto, CA 94303 ",436, High School
East Palo Alto Academy ,1," 475 Pope St. Menlo Park, CA 94025 ",615, High Schoolÿ
Ronald McNair Academy ,1," 2033 Pulgas Ave. East Palo Alto, CA 94303 ",621, Middle School
Cesar Chavez Elementary ,1," 2450 Ralmar St. East Palo Alto, CA 94303 ",640, Middle School
Belle Haven Elementary ,1," 415 Ivy Dr. Menlo Park, CA 94025 ",661, Elementary School
Garfield Elementary ,1," 3600 Middlefield Rd. Menlo Park, CA 94025 ",662, Elementary School
Los Robles Magnet Academy ,1," 2450 Ralmar Ave. East Palo Alto, CA 94303 ",675, Elementary School
John Gill Elementary ,1," 555 Avenue Del Ora Redwood City, CA 94062 ",699, Elementary School
Linda Mar Educational Center ,1," 830 Rosita Rd. Pacifica, CA 94044 ",703, Elementary School
Green Oaks Academy ,1," 2450 Ralmar St. East Palo Alto, CA 94303 ",715, Elementary School
Pescadero Elementary ,1," 620 North St. Pescadero, CA 94060 ",718, Elementary School
Hawes Elementary ,2," 909 Roosevelt Ave. Redwood City, CA 94061 ",728, Elementary School
Selby Lane Elementary ,2," 170 Selby Ln. Atherton, CA 94027 ",730, Elementary School
Hoover Elementary ,2," 701 Charter St. Redwood City, CA 94063 ",737, Elementary School
Willow Oaks Elementary ,2," 620 Willow Rd. Menlo Park, CA 94025 ",741, Elementary School
Fair Oaks Elementary ,2," 2950 Fair Oaks Ave. Redwood City, CA 94063 ",741, Elementary School
Parkside Elementary ,2," 1685 Eisenhower St. San Mateo, CA 94402 ",744, Elementary School
Albion H. Horrall Elementary ,2," 949 Ocean View Ave. San Mateo, CA 94401 ",746, Elementary School
Garnet J. Robertson Intermediate ,3," 1 Martin St. Daly City, CA 94014 ",735, Middle School
McKinley Institute of Technology ,3," 400 Duane St. Redwood City, CA 94062 ",741, Middle School
John F. Kennedy Middle ,3," 2521 Goodwin Ave. Redwood City, CA 93239 ",746, Middle School
THE Bayside S.T.E.M. ACADEMY ,3," 2025 Kehoe Ave. San Mateo, CA 94403 ",746, Middle School
Taft Elementary ,3," Tenth Ave. and Bay Rd. Redwood City, CA 94063 ",750, Elementary School
Thomas R. Pollicita Middle ,3," 550 East Market St. Daly City, CA 94014 ",751, Middle School
Park Elementary ,3," 161 Clark Dr. San Mateo, CA 94402 ",762, Elementary School
Costano Elementary ,3," 2695 Fordham St. East Palo Alto, CA 94303 ",765, Elementary School
Sunnybrae Elementary ,3," 1031 South Delaware St. San Mateo, CA 94402 ",765, Elementary School
Alvin S. Hatch Elementary ,3," 490 Miramontes Ave. Half Moon Bay, CA 94019 ",770, Elementary School
Bayshore Elementary ,3," 155 Oriente St. Daly City, CA 94014 ",772, Elementary School
Jefferson High ,4," 6996 Mission St. Daly City, CA 94014 ",736, High School
California Virtual Academy @ San Mateo ,4," 2360 Shasta Way, Unit A Simi Valley, CA 93065 ",739, High Schoolÿ
Benjamin Franklin Intermediate ,4," 700 Stewart Ave. Colma, CA 94015 ",769, Middle School
Edison-Brentwood Elementary ,4," 2086 Clarke St. East Palo Alto, CA 94303 ",782, Elementary School
Panorama Elementary ,4," 25 Bellevue Ave. Daly City, CA 94014 ",784, Elementary School
Fiesta Gardens International Elementary ,4," 1001 Bermuda Dr. San Mateo, CA 94403 ",784, Elementary School
Woodrow Wilson Elementary ,4," 43 Miriam St. Daly City, CA 94014 ",788, Elementary School
Belle Air Elementary ,4," 450 Third Ave. San Bruno, CA 94066 ",791, Elementary School
Los Cerritos Elementary ,4," 210 West Orange Ave. South San Francisco, CA 94080 ",791, Elementary School
Pescadero High ,5," 350 Butano Cut Off Pescadero, CA 94060 ",744, High School
Woodside High ,5," 199 Churchill Ave. Woodside, CA 94062 ",758, High School
Parkway Heights Middle ,5," 650 Sunset Ave. South San Francisco, CA 94080 ",783, Middle School
Parkside Intermediate ,5," 1801 Niles Ave. San Bruno, CA 94066 ",785, Middle School
Rollingwood Elementary ,5," 2500 Cottonwood Dr. San Bruno, CA 94066 ",795, Elementary School
El Granada Elementary ,5," 400 Santiago St. Half Moon Bay, CA 94019 ",796, Elementary School
Spruce Elementary ,5," 501 Spruce Ave. South San Francisco, CA 94080 ",800, Elementary School
Roosevelt Elementary ,5," 2223 Vera Ave. Redwood City, CA 94061 ",801, Elementary School
Farallone View Elementary ,5," 250 LaConte and Kanoff Montara, CA 94037 ",803, Elementary School
Franklin Delano Roosevelt Elementary ,5," 1200 Skyline Dr. Daly City, CA 94015 ",808, Elementary School
Susan B. Anthony Elementary ,5," 575 Abbot Ave. Daly City, CA 94014 ",809, Elementary School
South San Francisco High ,6," 400 B St. South San Francisco, CA 94080 ",769, High School
Abbott Middle ,6," 600 36th Ave. San Mateo, CA 94403 ",798, Middle School
Manuel F. Cunha Intermediate ,6," 498 Kelly Ave. Half Moon Bay, CA 94019 ",810, Middle School
Martin Elementary ,6," 35 School St. South San Francisco, CA 94080 ",812, Elementary School
Garden Village Elementary ,6," 208 Garden Ln. Colma, CA 94015 ",814, Elementary School
Clifford Elementary ,6," 225 Clifford Ave. Redwood City, CA 94062 ",818, Elementary School
Sunshine Gardens Elementary ,6," 1200 Miller Ave. South San Francisco, CA 94080 ",818, Elementary School
George Washington Elementary ,6," 251 Whittier St. Daly City, CA 94014 ",819, Elementary School
Ingrid B. Lacy Middle ,6," 1427 Palmetto Ave. Pacifica, CA 94044 ",820, Middle School
Aspire East Palo Alto Charter ,6," 1286 Runnymede St. East Palo Alto, CA 94303 ",822, Elementary Schoolÿ
Decima M. Allen Elementary ,6," 875 West Angus Ave. San Bruno, CA 94066 ",823, Elementary School
George Hall Elementary ,6," 130 San Miguel Way San Mateo, CA 94403 ",823, Elementary School
Laurel Elementary ,6," 316 36th Ave. San Mateo, CA 94403 ",825, Elementary School
Daniel Webster Elementary ,6," 425 El Dorado Dr. Daly City, CA 94015 ",827, Elementary School
Beresford Elementary ,6," 300 28th Ave. San Mateo, CA 94403 ",831, Elementary School
El Camino High ,7," 1320 Mission Rd. South San Francisco, CA 94080 ",782, High School
Westmoor High ,7," 131 Westmoor Ave. Daly City, CA 94015 ",783, High School
