Packard Children's Hospital/Stanford ,1," 725 Welch Rd. Palo Alto, CA 94304 ",481, High School
Wilson Alternative ,1," 1840 Benton St. Santa Clara, CA 95050 ",541, High School
Escuela Popular Accelerated Family Learn ,1," 467 North White Rd. San Jose, CA 95127 ",581, Elementary Schoolÿ
ACE Charter High ,1," 660 Sinclair Dr. San Jose, CA 95116 ",605, High Schoolÿ
Sunrise Middle ,1," 1149 East Julian St., Bldg. G San Jose, CA 95116 ",648, Middle Schoolÿ
Empire Gardens Elementary ,1," 1060 East Empire St. San Jose, CA 95112 ",661, Elementary School
Katherine R. Smith Elementary ,1," 2025 Clarice Dr. San Jose, CA 95122 ",678, Elementary School
Gardner Elementary ,1," 502 Illinois Ave. San Jose, CA 95125 ",689, Elementary School
McKinley Elementary ,1," 651 Macredes Ave. San Jose, CA 95116 ",691, Elementary School
Santee Elementary ,1," 1313 Audubon Dr. San Jose, CA 95122 ",701, Elementary School
Ernesto Galarza Elementary ,1," 1610 Bird Ave. San Jose, CA 95125 ",704, Elementary School
Horace Mann Elementary ,1," 55 North Seventh St. San Jose, CA 95112 ",704, Elementary School
Grant Elementary ,1," 470 East Jackson St. San Jose, CA 95112 ",718, Elementary School
Daniel Lairon Elementary ,1," 3975 Mira Loma San Jose, CA 95111 ",719, Elementary School
Leadership Public Schools - San Jose ,2," 1881 Cunningham Ave. San Jose, CA 95122 ",663, High Schoolÿ
James Lick High ,2," 57 North White Rd. San Jose, CA 95127 ",674, High School
William C. Overfelt High ,2," 1835 Cunningham Ave. San Jose, CA 95122 ",676, High School
Latino College Preparatory Academy ,2," 1966 Flint Ave. San Jose, CA 95148 ",679, High Schoolÿ
Yerba Buena High ,2," 1855 Lucretia Ave. San Jose, CA 95122 ",682, High School
San Jose High ,2," 275 North 24th St. San Jose, CA 95116 ",690, High School
Herbert Hoover Middle ,2," 1635 Park Ave. San Jose, CA 95126 ",705, Middle School
Lee Mathson Middle ,2," 2050 Kammerer Ave. San Jose, CA 95116 ",708, Middle School
August Boeger Middle ,2," 1944 Flint Ave. San Jose, CA 95148 ",718, Middle School
Edenvale Elementary ,2," 285 Azucar Ave. San Jose, CA 95111 ",728, Elementary School
Ocala Middle ,2," 2800 Ocala Ave. San Jose, CA 95148 ",730, Middle School
Mt. Pleasant Elementary ,2," 14275 Candler Dr. San Jose, CA 95127 ",731, Elementary School
ACE Charter ,2," 625 South Sunset Ave. San Jose, CA 95116 ",731, Middle Schoolÿ
Canoas Elementary ,2," 880 Wren Dr. San Jose, CA 95125 ",735, Elementary School
Selma Olinder Elementary ,2," 890 East William San Jose, CA 95116 ",741, Elementary School
P. A. Walsh Elementary ,2," 353 West Main Ave. Morgan Hill, CA 95037 ",742, Elementary School
Los Arboles Elementary ,2," 455 Los Arboles St. San Jose, CA 95111 ",746, Elementary School
Del Mar High ,3," 1224 Del Mar Ave. San Jose, CA 95128 ",694, High School
Gunderson High ,3," 620 Gaundabert Ln. San Jose, CA 95136 ",695, High School
Mount Pleasant High ,3," 1750 South White Rd. San Jose, CA 95127 ",711, High School
Andrew P. Hill High ,3," 3200 Senter Rd. San Jose, CA 95111 ",713, High School
Oak Grove High ,3," 285 Blossom Hill Rd. San Jose, CA 95123 ",716, High School
Columbia Middle ,3," 739 Morse Ave. Sunnyvale, CA 94085 ",733, Middle School
Sylvandale Middle ,3," 653 Sylvandale Ave. San Jose, CA 95111 ",735, Middle School
Peter Burnett Middle ,3," 850 North Second St. San Jose, CA 95112 ",740, Middle School
William Sheppard Middle ,3," 480 Rough and Ready Rd. San Jose, CA 95133 ",746, Middle School
