REALM Charter High,High School˜,636,1,2023 8th Street,Berkeley,Alameda County,94710,CA,-1.22294912200000E+002,+3.78674569000000E+001
Strobridge Elementary,Elementary School,691,1,21400 Bedford Drive,Hayward,Alameda County,94546,CA,-1.22088442800000E+002,+3.76876149000000E+001
Bowman Elementary,Elementary School,708,1,520 Jefferson Street,Hayward,Alameda County,94544,CA,-1.22062723300000E+002,+3.76417377000000E+001
Cesar Chavez Middle,Middle School,697,1,27845 Whitman Street,Hayward,Alameda County,94544,CA,-1.22062653400000E+002,+3.76363149000000E+001
Cherryland Elementary,Elementary School,702,1,585 Willow Avenue,Hayward,Alameda County,94541,CA,-1.22098557700000E+002,+3.76756109000000E+001
Fairview Elementary,Elementary School,691,1,23515 Maud Avenue,Hayward,Alameda County,94541,CA,-1.22052969000000E+002,+3.76803450000000E+001
Glassbrook Elementary,Elementary School,651,1,975 Schafer Road,Hayward,Alameda County,94544,CA,-1.22079810300000E+002,+3.76410564000000E+001
Park Elementary,Elementary School,680,1,411 Larchmont Street,Hayward,Alameda County,94544,CA,-1.22093177500000E+002,+3.76536844000000E+001
Ruus Elementary,Elementary School,673,1,28027 Dickens Avenue,Hayward,Alameda County,94544,CA,-1.22073703000000E+002,+3.76269640000000E+001
Schafer Park Elementary,Elementary School,707,1,26268 Flamingo Avenue,Hayward,Alameda County,94544,CA,-1.22086149500000E+002,+3.76425644000000E+001
Tennyson High,High School,627,1,27035 Whitman Street,Hayward,Alameda County,94544,CA,-1.22067212000000E+002,+3.76422220000000E+001
Tyrrell Elementary,Elementary School,686,1,27000 Tyrrell Avenue,Hayward,Alameda County,94544,CA,-1.22075084400000E+002,+3.76381780000000E+001
Winton Middle,Middle School,698,1,119 Winton Avenue,Hayward,Alameda County,94544,CA,-1.22089872500000E+002,+3.76608186000000E+001
Colonial Acres Elementary,Elementary School,709,1,17115 Meekland Avenue,Hayward,Alameda County,94541,CA,-1.22117023100000E+002,+3.76835036000000E+001
August Schilling Elementary,Elementary School,718,1,36901 Spruce Street,Newark,Alameda County,94560,CA,-1.22046716800000E+002,+3.75283431000000E+001
Alternative Crossroads High,High School,631,1,35753 Cedar Boulevard,Newark,Alameda County,94560,CA,-1.22037328800000E+002,+3.75497787000000E+001
Community School for Creative Education,Elementary School˜,660,1,8755 Fontaine Street,Oakland,Alameda County,94605,CA,-1.22152239300000E+002,+3.77622390000000E+001
Urban Montessori Charter,Elementary School˜,676,1,5328 Brann Street,Oakland,Alameda County,94619,CA,-1.22189729600000E+002,+3.77785348000000E+001
Emery Secondary,High School,625,1,915 54th Street,Oakland,Alameda County,94608,CA,-1.22274490200000E+002,+3.78380759000000E+001
100 Black Men of the Bay Area Community,Elementary School˜,633,1,3400 Malcolm Avenue,Oakland,Alameda County,94605,CA,-1.22141120600000E+002,+3.77460531000000E+001
Allendale Elementary,Elementary School,663,1,3670 Penniman Avenue,Oakland,Alameda County,94619,CA,-1.22204705900000E+002,+3.77886450000000E+001
Alliance Academy,Middle School,627,1,1800 98th Avenue,Oakland,Alameda County,94603,CA,-1.22165396800000E+002,+3.77460375000000E+001
ARISE High,High School˜,533,1,3301 East 12th Street,Oakland,Alameda County,94601,CA,-1.22224756400000E+002,+3.77757745000000E+001
Bret Harte Middle,Middle School,666,1,3700 Coolidge Avenue,Oakland,Alameda County,94602,CA,-1.22206499300000E+002,+3.77993378000000E+001
Bridges Academy,Elementary School,678,1,1325 53rd Avenue,Oakland,Alameda County,94601,CA,-1.22207474200000E+002,+3.77674528000000E+001
Brookfield Elementary,Elementary School,687,1,401 Jones Avenue,Oakland,Alameda County,94603,CA,-1.22189299900000E+002,+3.77349299000000E+001
Castlemont High,High School,509,1,8601 MacArthur Boulevard,Oakland,Alameda County,94605,CA,-1.22164086200000E+002,+3.77591887000000E+001
Community United Elementary,Elementary School,700,1,6701 International Boulevard,Oakland,Alameda County,94621,CA,-1.22191881600000E+002,+3.77609750000000E+001
East Oakland Pride Elementary,Elementary School,668,1,8000 Birch Street,Oakland,Alameda County,94621,CA,-1.22174550000000E+002,+3.77590682000000E+001
Elmhurst Community Prep,Middle School,686,1,1800 98th Avenue,Oakland,Alameda County,94603,CA,-1.22165396800000E+002,+3.77460375000000E+001
Emerson Elementary,Elementary School,696,1,4803 Lawton Avenue,Oakland,Alameda County,94609,CA,-1.22257325000000E+002,+3.78343896000000E+001
Frick Middle,Middle School,621,1,2845 64th Avenue,Oakland,Alameda County,94605,CA,-1.22184109200000E+002,+3.77714567000000E+001
Fruitvale Elementary,Elementary School,703,1,3200 Boston Avenue,Oakland,Alameda County,94602,CA,-1.22213766300000E+002,+3.77962778000000E+001
Futures Elementary,Elementary School,588,1,6701 International Boulevard,Oakland,Alameda County,94621,CA,-1.22191881600000E+002,+3.77609750000000E+001
Global Family,Elementary School,697,1,2035 40th Avenue,Oakland,Alameda County,94601,CA,-1.22213042600000E+002,+3.77800607000000E+001
Hoover Elementary,Elementary School,705,1,890 Brockhurst Street,Oakland,Alameda County,94608,CA,-1.22274260000000E+002,+3.78232720000000E+001
Independent Study, Sojourner Truth ,High School,568,1,8251 Fontaine Street,Oakland,Alameda County,94605,CA,-1.22153865200000E+002,+3.77658369000000E+001
Lafayette Elementary,Elementary School,605,1,1700 Market Street,Oakland,Alameda County,94607,CA,-1.22279160900000E+002,+3.78103230000000E+001
Learning Without Limits,Elementary School˜,713,1,2035 40th Avenue,Oakland,Alameda County,94601,CA,-1.22213042600000E+002,+3.77800607000000E+001
Madison Park Academy 6-12,Middle School,701,1,400 Capistrano Drive,Oakland,Alameda County,94603,CA,-1.22177635900000E+002,+3.77275405000000E+001
Madison Park Academy TK-5,Elementary School,667,1,470 El Paseo Drive,Oakland,Alameda County,94603,CA,-1.22176582000000E+002,+3.77279810000000E+001
Manzanita Community,Elementary School,693,1,2409 East 27th Street,Oakland,Alameda County,94601,CA,-1.22224828200000E+002,+3.77917497000000E+001
Martin Luther King, Jr. Elementary ,Elementary School,651,1,960 10th Street,Oakland,Alameda County,94607,CA,-1.22282771000000E+002,+3.78063130000000E+001
