Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81513621,,,Hillview,24289,Road,6720000,76,6,5,5,1,6143,50424,Los Altos Hills,19
Sold,Not Applicable,ML81515691,,,Hill,20252,Avenue,6450000,104,7,6,5,2,9000,90821,Saratoga,95
Sold,Not Applicable,ML81486058,,,Montalvo Heights,15243,Court,6280000,181,7,5,6,1,5439,52672,Saratoga,28
Sold,Not Applicable,ML81521948,,,Arastradero,28,Road,6125000,71,5,4,4,1,5797,253310,Portola Valley,24
Sold,Not Applicable,ML81459864,,,Webster,1565,Street,5850000,202,6,5,4,2,4601,11250,Palo Alto,14
Sold,Not Applicable,ML81546542,,,Audrey Smith,28000,Lane,5273000,18,5,6,5,0,5273,50965.2,Saratoga,19
Sold,Not Applicable,ML81550178,,,Rancho Manuella,26160,Lane,5025000,0,7,6,6,1,4705,52272,Los Altos Hills,38
Sold,Not Applicable,ML81517925,,,Hamilton,1523,Avenue,5000000,63,4,4,3,1,3309,9225,Palo Alto,3
Sold,Not Applicable,ML81520501,,,Live Oak,234,Lane,4900000,9,4,5,3,1,4359,22216,Los Altos,85
Sold,Not Applicable,ML81499573,,,Magdalena,10250,Road,4800000,108,6,6,5,1,6595,46709,Los Altos Hills,7
Sold,Not Applicable,ML81519846,,,Cowper,1741,Street,4800000,10,3,3,2,1,2273,6999,Palo Alto,89
Sold,Not Applicable,ML81551132,,,Melville,786,Avenue,4800000,12,5,5,5,0,3627,7614.29,Palo Alto,17
Sold,Not Applicable,ML81520498,,,Kingsley,655,Avenue,4798000,21,5,5,4,1,3627,6313,Palo Alto,7
Sold,Not Applicable,ML81563252,,,Glen Alto,582,Drive,4700000,0,5,5,4,1,3152,10511.03,Los Altos,0
Sold,Not Applicable,ML81535016,,,Englewood,16372,Avenue,4600000,1,4,5,3,1,4398,32234,Los Gatos,14
Sold,Not Applicable,ML81546844,,,Patrick,531,Way,4600000,7,4,5,4,0,4000,10965,Los Altos,62
Sold,Not Applicable,ML81551154,,,Greenwood,1310,Avenue,4600000,8,3,3,2,1,2985,9720,Palo Alto,70
Sold,Not Applicable,ML81515693,,,Carnelian Glen,14595,Court,4328888,35,7,5,5,2,6200,31056,Saratoga,38
Sold,Not Applicable,ML81520968,,,Chester,14515,Avenue,4300000,13,7,7,6,1,7352,57327,Saratoga,11
Sold,Not Applicable,ML81547695,,,Lyell,208,Street,4250000,15,4,4,4,0,3084,9975,Los Altos,0
Sold,Not Applicable,ML81518906,,,Altamont,27411,Road,4200000,14,4,4,3,1,3517,50386,Los Altos Hills,65
Sold,Not Applicable,ML81518790,,,Wild Plum,14195,Lane,4175000,77,4,5,3,1,3924,48110,Los Altos Hills,32
Sold,Not Applicable,ML81520247,,,Tennyson,519,Avenue,4158000,9,2,3,2,0,1481,7500,Palo Alto,92
Sold,Not Applicable,ML81515818,,,Bellevue,360,Court,4002000,71,5,5,4,1,3765,12800,Los Altos,8
Sold,Not Applicable,ML81500318,,,Littlefield,16781,Lane,4000000,77,7,6,5,2,5701,12328,Los Gatos,0
Sold,Not Applicable,ML81516551,,,Gum Tree,15690,Lane,3998000,52,4,4,4,0,7100,258537,Los Gatos,33
Sold,Not Applicable,ML81521838,,,Congress Hall,21771,Lane,3915000,76,5,4,3,2,5135,42393,Saratoga,30
Sold,Not Applicable,ML81548646,,,Glen Alto,554,Drive,3901000,6,4,5,3,1,3363,11081.66,Los Altos,12
Sold,Not Applicable,ML81516663,,,Alta Tierra,141,Court,3900000,144,6,4,5,1,6676,58208,Los Gatos,33
Sold,Not Applicable,ML81459797,,,Old Santa Cruz,19680,Highway,3802500,302,6,5,5,1,5957,111078,Los Gatos,8
Sold,Not Applicable,ML81519437,,,Verano,371,Drive,3800000,9,2,4,2,0,3237,14452,Los Altos,68
Sold,Not Applicable,ML81518093,,,Dana,1437,Avenue,3775000,70,3,4,3,0,2437,7547,Palo Alto,83
Sold,Not Applicable,ML81519305,,,Fulton,627,Street,3700000,9,5,5,4,1,2328,6299,Palo Alto,91
Sold,Not Applicable,ML81522831,,,Wilkie,4264,Way,3681250,15,5,5,4,1,3475,8316,Palo Alto,7
Sold,Not Applicable,ML81548593,,,Sleeper,293,Avenue,3660000,8,5,5,4,1,4309,19166,Mountain View,14
Sold,Not Applicable,ML81518881,,,Princeton,2053,Street,3600000,11,3,5,2,1,2538,6250,Palo Alto,109
Sold,Not Applicable,ML81520772,,,Martens,349,Avenue,3600000,21,4,6,4,0,4088,29715,Mountain View,62
Sold,Not Applicable,ML81519821,,,Dori,26209,Lane,3550000,17,6,5,6,0,4977,46048,Los Altos Hills,51
Sold,Not Applicable,ML81521334,,,Pinecrest,594,Drive,3550000,8,5,4,3,2,3588,16553,Los Altos,9
Sold,Not Applicable,ML81521005,,,Dawson,11688,Drive,3510000,20,5,6,4,1,5019,74052,Los Altos Hills,30
Sold,Not Applicable,ML81517503,,,Bank Mill,21216,Road,3500000,80,5,5,4,1,4800,67039,Saratoga,0
Sold,Not Applicable,ML81518559,,,Dover,880,,3500000,32,3,4,3,0,3891,47238,Los Altos,28
