Active,Not Applicable,ML81534470,21511 Congress Springs Road,24888888,84,2,3,2,0,2094,+2.15216000000000E+005,Saratoga,60,-1.22056564900000E+002,+3.72521656000000E+001
Active,Not Applicable,ML81563026,21116 Comer Drive,24500000,7,12,7,9,3,12983,+3.43252800000000E+005,Saratoga,12,-1.22043817000000E+002,+3.72784800000000E+001
Active,Not Applicable,ML81547137,27040 Old Trace Lane,19988000,53,10,8,8,2,14855,+1.44555000000000E+005,Los Altos Hills,26,-1.22140664900000E+002,+3.73924927000000E+001
Active,Not Applicable,ML81549103,11627 Dawson Drive,18950000,35,6,9,5,1,16700,+2.49163200000000E+005,Los Altos Hills,77,-1.22114941900000E+002,+3.73506030000000E+001
Active,Not Applicable,ML81500916,890 Robb Road,14288000,201,8,6,7,1,8328,+4.42070000000000E+004,Palo Alto,12,-1.22135963000000E+002,+3.73924550000000E+001
Active,Not Applicable,ML81562894,13480 Wildcrest Drive,13895000,8,7,4,6,1,6215,+8.31996000000000E+004,Los Altos Hills,8,-1.22130691000000E+002,+3.73720790000000E+001
Active,Not Applicable,ML81546067,16040 Overlook Drive,13850000,62,7,5,5,2,11507,+1.31551200000000E+005,Los Gatos,6,-1.22018971000000E+002,+3.72352550000000E+001
Active,Not Applicable,ML81483172,26880 Elena Road,12888888,250,8,5,7,1,8232,+5.13090000000000E+004,Los Altos Hills,0,-1.22146702000000E+002,+3.73692160000000E+001
Active,Not Applicable,ML81548985,16401 MATILIJA Drive,11999000,36,9,6,6,3,14000,+5.96772000000000E+004,Los Gatos,11,-1.22008601000000E+002,+3.72303160000000E+001
Active,Not Applicable,ML81561786,26000 Westwind Way,11500000,15,5,5,4,1,7213,+1.25801280000000E+005,Los Altos Hills,54,-1.22135611000000E+002,+3.73730450000000E+001
Active,Not Applicable,ML81551047,363 Melville Avenue,11000000,20,7,5,5,2,6177,+1.41230000000000E+004,Palo Alto,112,-1.22151103000000E+002,+3.74407179000000E+001
Active,Not Applicable,ML81518017,2215 Liberata Drive,10888000,153,6,4,4,2,7490,+4.86054000000000E+005,Morgan Hill,10,-1.21622722000000E+002,+3.71537981000000E+001
Active,Not Applicable,ML81521589,26991 Taaffe Road,10888000,124,9,6,7,2,7968,+5.27070000000000E+004,Los Altos Hills,0,-1.22150049000000E+002,+3.73629450000000E+001
Active,Not Applicable,ML81550154,24970 Okeefe Lane,10800000,27,8,6,6,2,10300,+8.05860000000000E+004,Los Altos Hills,26,-1.22121462000000E+002,+3.73656680000000E+001
Pending,Not Applicable,ML81562168,2203 South Court,10495000,5,7,6,6,1,5289,+1.03950000000000E+004,Palo Alto,0,-1.22139093600000E+002,+3.74329266000000E+001
Active,Not Applicable,ML81514369,25617 W Fremont Road,8999888,129,7,5,5,2,7535,+6.83890000000000E+004,Los Altos Hills,16,-1.22125098000000E+002,+3.73812360000000E+001
Active,Not Applicable,ML81518568,15880 Glen Una Drive,8995000,148,5,6,4,1,6583,+2.86105000000000E+005,Los Gatos,74,-1.22021316000000E+002,+3.72367720000000E+001
Active,Not Applicable,ML81549252,405 Marlowe Street,8995000,34,7,6,6,1,6075,+1.04500000000000E+004,Palo Alto,1,-1.22150146000000E+002,+3.74568070000000E+001
Active,Not Applicable,ML81517030,14123 Tracy Court,8888000,159,6,7,6,0,5900,+5.77830000000000E+004,Los Altos Hills,13,-1.22170353000000E+002,+3.73850890000000E+001
Active,Not Applicable,ML81457311,25055 La Loma Drive,8000000,903,7,4,4,3,7614,+4.31240000000000E+004,Los Altos Hills,0,-1.22130826000000E+002,+3.73538430000000E+001
Active,Not Applicable,ML81523046,27886 Via Ventana Way,7998000,111,6,5,5,1,6362,+1.06722000000000E+005,Los Altos Hills,15,-1.22167757000000E+002,+3.73699950000000E+001
Active,Not Applicable,ML80788192,14050 SHANNON Road,7988000,2899,9,6,7,2,6138,+1.37344600000000E+006,Los Gatos,16,-1.21916819000000E+002,+3.72159840000000E+001
Active,Not Applicable,ML81547756,13430 Country Way,7680000,48,6,6,6,0,6905,+1.46797200000000E+005,Los Altos Hills,27,-1.22161587000000E+002,+3.73757400000000E+001
Active,Not Applicable,ML81547302,15781 Hidden Hill Road,7588000,51,6,5,5,1,6500,+3.94653600000000E+004,Los Gatos,1,-1.22008227000000E+002,+3.72393030000000E+001
Active,Not Applicable,ML81563221,151 Seale Avenue,6998000,6,5,6,4,1,4468,+7.50000000000000E+003,Palo Alto,0,-1.22146100000000E+002,+3.74334520000000E+001
Active,Not Applicable,ML81548302,14966 Sobey Road,6800888,43,7,5,6,1,6011,+4.69670000000000E+004,Saratoga,1,-1.21999371000000E+002,+3.72511710000000E+001
Active,Not Applicable,ML81563241,1115 Ramona Street,6650000,6,4,6,3,1,3500,+9.18800000000000E+003,Palo Alto,113,-1.22154225000000E+002,+3.74405410000000E+001
Pending,Not Applicable,ML81458268,19730 Glen Una Drive,6500000,313,5,5,4,1,5500,+1.25017000000000E+005,Saratoga,64,-1.22017845000000E+002,+3.72432058000000E+001
Active,Not Applicable,ML81548522,26290 Catharine Court,6480000,41,4,4,3,1,4355,+4.72020000000000E+004,Los Altos Hills,38,-1.22137642000000E+002,+3.73837920000000E+001
Active,Not Applicable,ML81534939,2068 Biarritz Place,6400000,87,7,5,5,2,8451,+4.74500000000000E+004,San Jose,13,-1.21763260000000E+002,+3.72743060000000E+001
Active,Not Applicable,ML81548467,728 Addison Avenue,6388000,41,4,5,3,1,3399,+5.62500000000000E+003,Palo Alto,2,-1.22150211500000E+002,+3.74471456000000E+001
Active,Not Applicable,ML81561954,16390 Reynolds Drive,6375000,346,7,8,6,1,9462,+1.17612000000000E+005,Morgan Hill,14,-1.21680088000000E+002,+3.71052300000000E+001
Active,Not Applicable,ML81563283,225 Lincoln Avenue,6275000,6,6,5,4,2,4735,+6.82500000000000E+003,Palo Alto,3,-1.22155273200000E+002,+3.74401937000000E+001
Active,Not Applicable,ML81533093,16440 S Kennedy Road,5998000,147,6,5,4,2,7313,+4.36330000000000E+004,Los Gatos,27,-1.21957885000000E+002,+3.72212680000000E+001
Active,Not Applicable,ML81548797,218 Tourney Loop,5995000,39,6,4,4,2,5517,+4.42850000000000E+004,Los Gatos,0,-1.21968847900000E+002,+3.72151188000000E+001
Active,Not Applicable,ML81330724,15668 BOHLMAN Road,5950000,931,5,4,3,2,5255,+2.20849200000000E+005,Saratoga,24,-1.22045523000000E+002,+3.72387270000000E+001
Active,Not Applicable,ML81563521,2991 Alexis Drive,5950000,347,3,5,2,1,3250,+4.75108900000000E+004,Palo Alto,38,-1.22170538400000E+002,+3.73751933000000E+001
Contingent,Not Applicable,ML81549367,2979 Alexis Drive,5895000,15,6,6,5,1,5732,+3.98225500000000E+004,Palo Alto,51,-1.22170749000000E+002,+3.73760120000000E+001
Active,Not Applicable,ML81411807,26173 RANCHO MANUELLA Lane,5800000,699,4,3,3,1,3779,+4.74360000000000E+004,Los Altos Hills,78,-1.22133369000000E+002,+3.73881850000000E+001
Active,Not Applicable,ML81562567,27640 Sherlock Court,5772000,11,6,4,4,2,4517,+9.19116000000000E+004,Los Altos Hills,77,-1.22163075600000E+002,+3.73591064000000E+001
Pending,Not Applicable,ML81468049,15657 Shady Lane,5590000,4,8,5,7,1,8685,+9.93160000000000E+004,Los Gatos,0,-1.21943211600000E+002,+3.72321586000000E+001
Active,Not Applicable,ML81516385,19251 Black Road,5499000,165,4,5,3,1,6489,+1.28691400000000E+006,Los Gatos,27,-1.22010978000000E+002,+3.71940920000000E+001
Active,Not Applicable,ML81484960,20932 Hidden View Lane,5488000,238,7,6,6,1,6708,+2.73992000000000E+005,Saratoga,23,-1.22038146000000E+002,+3.72516660000000E+001
Active,Not Applicable,ML81518292,19645 Saratoga Los Gatos Road,5390000,151,6,6,5,1,5211,+4.36759000000000E+004,Saratoga,3,-1.22015968000000E+002,+3.72479550000000E+001
Active,Not Applicable,ML81517829,15374 Madrone Hill Road,5200000,154,7,7,6,1,7179,+9.17750000000000E+004,Saratoga,7,-1.22027100000000E+002,+3.72446510000000E+001
