Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Active,Not Applicable,ML81563777,,,Camino Por Los Arboles,47,,42800000,4,10,6,6,4,16468,63162,Atherton,0
Active,Not Applicable,ML81546005,,,Greer,331,Road,39980000,63,9,9,8,1,9000,1716264,Woodside,70
Active,Not Applicable,ML81497015,,,Crystal Springs,891,Road,39900000,226,10,10,9,1,16000,2064744,Hillsborough,99
Active,Not Applicable,ML81563851,,,Atherton,246,Avenue,39800000,3,10,7,7,3,23013,110206.8,Atherton,1
Active,Not Applicable,ML81551023,,,Kings Mountain,700,Road,23988000,21,6,4,5,1,14000,133729.2,Woodside,28
Active,Not Applicable,ML81468395,,,Faxon,1,Road,20700000,280,7,5,5,2,14000,75359,Atherton,12
Active,Not Applicable,ML81561274,,,Alameda,806,,19800000,19,4,5,3,1,3175,457000,San Carlos,58
Active,Not Applicable,ML81336315,,,SAN RAYMUNDO,1225,Road,18850000,888,15,12,12,3,11880,134164,Hillsborough,83
Active,Not Applicable,ML81533776,,,Woodgate,15,Court,18000000,99,11,6,8,3,12616,148104,Hillsborough,8
Active,Not Applicable,ML81549406,,,Carolina,5,Lane,17800000,33,9,7,7,2,12778,44810,Atherton,0
Active,Not Applicable,ML81546563,,,KINGS MOUNTAIN ROAD,155,,16995000,120,12,6,6,6,10690,217800,Woodside,31
Active,Not Applicable,ML81458850,,,Atherton,333,Avenue,15800000,335,8,6,6,2,11230,108768,Atherton,23
Active,Not Applicable,ML81516493,,,Tallwood Ct.,1,,15600000,162,8,5,5,3,11985,43647,Atherton,0
Active,Not Applicable,ML81472163,,,Atherton,95,Avenue,15200000,257,8,5,6,2,9983,93200,Atherton,21
Active,Not Applicable,ML81547715,,,Redberry,3,Ridge,15000000,48,7,5,5,2,10223,113970.38,Portola Valley,0
Active,Not Applicable,ML81516863,,,Mountain Wood,201,Lane,14988000,302,9,4,5,4,16800,365468,Woodside,0
Active,Not Applicable,ML81549715,,,Selby,91,Lane,14900000,148,12,8,9,3,12402,48260,Atherton,0
Active,Not Applicable,ML81520140,,,Atherton,291,Avenue,14688000,208,6,5,5,1,9600,87512,Atherton,18
Pending,Not Applicable,ML81561646,,,Mountain Home,330,Road,14500000,14,5,4,4,1,4871,148452.48,Woodside,5
Active,Not Applicable,ML81521887,,,Greenoaks,85,Drive,12950000,122,7,6,5,2,9894,39506,Atherton,0
Active,Not Applicable,ML81563607,,,Austin,123,Avenue,12950000,4,6,5,5,1,6243,43566,Atherton,3
Active,Not Applicable,ML81520215,,,Atherton,247,Avenue,11990000,57,9,6,7,2,8932,41128,Atherton,8
Active,Not Applicable,ML81465776,,,Selby,65,Lane,11800000,295,11,7,8,3,12092,40075,Atherton,9
Active,Not Applicable,ML81459558,,,Laurel,151,Street,11388000,603,8,9,7,1,8380,80586,Atherton,130
Pending,Not Applicable,ML81549669,,,Fair Oaks,188,Lane,11200000,11,5,3,4,1,7517,102366,Atherton,111
Active,Not Applicable,ML81563780,,,Why Worry,60,Lane,11000000,4,5,4,4,1,5814,135036,Woodside,27
Active,Not Applicable,ML81562488,,,Selby,120,Lane,10495000,109,7,7,7,0,11000,87120,Atherton,101
