Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81515494,,,Tuscaloosa,119,Avenue,35300000,33,11,7,8,3,20375,82000,Atherton,0
Sold,Not Applicable,ML81455234,,,Austin,181,Avenue,16000000,222,7,6,6,1,8800,110642,Atherton,61
Sold,Not Applicable,ML81513111,,,Reservoir,80,Road,13250000,29,4,3,3,1,8716,116179,Atherton,17
Sold,Not Applicable,ML81518215,,,Walsh,425,Road,11336000,4,5,5,3,2,9464,83722,Atherton,37
Sold,Not Applicable,ML81518218,,,Manuella,349,Avenue,9980000,11,3,2,2,1,2190,184694,Woodside,109
Sold,Not Applicable,ML81512088,,,SEABURY,828,Road,9870000,12,7,5,4,3,7675,55392,Hillsborough,95
Sold,Not Applicable,ML81448825,,,Adam,68,Way,9800000,291,8,6,7,1,12600,48450,Atherton,4
Sold,Not Applicable,ML81496790,,,Brookvale,1830,Road,9100000,41,9,6,7,2,6672,43500,Hillsborough,82
Sold,Not Applicable,ML81501403,,,Manzanita,555,Way,8120000,94,6,4,5,1,6265,223463,Woodside,34
Sold,Not Applicable,ML81484407,,,Farm,33,Lane,8000000,66,9,6,8,1,8998,43124,Hillsborough,6
Sold,Not Applicable,ML81512333,,,Eleanor,538,Drive,7250000,31,4,5,4,0,5356,68738,Woodside,7
Sold,Not Applicable,ML81463249,,,Canada,1595,Lane,6950000,143,5,4,4,1,4789,73181,Woodside,11
Sold,Not Applicable,ML81512754,,,Hillsborough,720,Boulevard,6850000,7,5,6,4,1,5533,30492,Hillsborough,95
Sold,Not Applicable,ML81518695,,,Richmond Road,290,,6700000,0,5,6,4,1,7470,41800,Hillsborough,96
Sold,Not Applicable,ML81238699,,,HILLSBOROUGH,325,Boulevard,6630000,1057,5,6,4,1,6610,87250,Hillsborough,95
Sold,Not Applicable,ML81521719,,,Menlo Oaks,699,Drive,6600000,7,7,6,6,1,5941,30439,Menlo Park,0
Sold,Not Applicable,ML81500306,,,James,91,Avenue,6498000,56,4,4,3,1,4276,40775,Atherton,64
Sold,Not Applicable,ML81550066,,,Bridge,250,Road,6300000,0,4,5,4,0,4379,16988.4,Hillsborough,0
Sold,Not Applicable,ML81513115,,,Fredrick,62,Avenue,6200000,12,5,7,5,0,5530,43000,Atherton,74
Sold,Not Applicable,ML81534890,,,Chiltern,863,Road,6100000,291,6,5,5,1,5300,7840.8,Hillsborough,79
Sold,Not Applicable,ML81516169,,,Walsh,490,Road,6000000,105,5,5,4,1,4478,87321,Atherton,67
Sold,Not Applicable,ML81518497,,,Baileyana,921,Road,6000000,28,6,5,5,1,5170,24355,Hillsborough,8
Sold,Not Applicable,ML81549544,,,Nathhorst,280,Avenue,5750000,0,5,5,5,0,5700,55756.8,Portola Valley,8
Sold,Not Applicable,ML81512264,,,Stockbridge,134,Avenue,5600000,7,4,4,3,1,3490,43584,Atherton,50
Sold,Not Applicable,ML81522563,,,Forest View,2141,Avenue,5500000,12,8,5,6,2,8050,35284,Hillsborough,117
Sold,Not Applicable,ML81534561,,,De Sabla,123,Road,5500000,10,6,5,5,1,3960,27443,Hillsborough,64
Sold,Not Applicable,ML81485710,,,Tournament,1215,Drive,5480000,68,8,7,7,1,7591,41643,Hillsborough,14
Sold,Not Applicable,ML81496821,,,Berkeley,650,Avenue,5400000,91,6,5,5,1,4700,16536,Menlo Park,0
Sold,Not Applicable,ML81515137,,,Queens,168,Court,5380000,0,5,5,4,1,6510,31747,San Carlos,5
Sold,Not Applicable,ML81534487,,,Moore,389,Road,5200000,478,9,7,8,1,11130,270072,Woodside,76
Sold,Not Applicable,ML81515327,,,Stonepine,60,Road,5150000,4,5,4,4,1,4890,25996,Hillsborough,28
Sold,Not Applicable,ML81518486,,,Leon,59,Way,5100000,4,3,4,3,0,2891,31500,Atherton,66
Sold,Not Applicable,ML81548811,,,Leon,54,Way,5100000,3,4,3,3,1,3310,30625,Atherton,68
Sold,Not Applicable,ML81465970,,,Bella Vista,123,Drive,5000000,172,9,5,8,1,6260,104454,Hillsborough,61
Sold,Not Applicable,ML81469157,,,Tiptoe,15,Lane,4850000,140,8,7,7,1,8610,22950,Hillsborough,47
Sold,Not Applicable,ML81517516,,,Berkeley,710,Avenue,4800000,11,7,6,7,0,6020,28280,Menlo Park,23
Sold,Not Applicable,ML81513943,,,Baileyana,966,Road,4750000,14,4,4,3,1,3500,15543,Hillsborough,88
Sold,Not Applicable,ML81513113,,,Lane,20,Place,4730000,12,5,5,3,2,3930,52272,Atherton,62
Sold,Not Applicable,ML81533727,,,Karen,141,Way,4680000,10,3,4,3,0,2490,42813,Atherton,57
Sold,Not Applicable,ML81516504,,,Mountain Home,151,Road,4650000,11,4,4,4,0,3120,57000,Woodside,65
Sold,Not Applicable,ML81516103,,,Uplands,255,Drive,4625000,7,5,5,4,1,3820,22983,Hillsborough,54
Sold,Not Applicable,ML81501162,,,Sargent,27,Lane,4618000,25,2,3,2,0,2750,49005,Atherton,41
Sold,Not Applicable,ML81517519,,,El Cerrito,740,Avenue,4600000,4,4,4,3,1,2930,21780,Hillsborough,47
Sold,Not Applicable,ML81518305,,,Camino A Los Cerros,1871,,4575000,7,4,5,4,0,3902,11843,Menlo Park,16
Sold,Not Applicable,ML81517020,,,Baileyana,901,Road,4495000,14,5,4,4,1,4200,16988,Hillsborough,79
Sold,Not Applicable,ML81497688,,,Holly,1795,Avenue,4450000,49,5,5,4,1,3480,11800,Menlo Park,16
Sold,Not Applicable,ML81515209,,,Cabrillo,1025,Avenue,4400000,35,6,5,4,2,4680,11239,Burlingame,0
Sold,Not Applicable,ML81460554,,,Stonepine,70,Road,4350000,149,5,4,4,1,4896,25245,Hillsborough,26
Sold,Not Applicable,ML81468012,,,Haciendas,38,Drive,4350000,191,8,6,5,3,6619,177594,Woodside,23
Sold,Not Applicable,ML81498795,,,Eucalyptus,175,Avenue,4350000,37,5,5,4,1,4420,26752,Hillsborough,38
Sold,Not Applicable,ML81522539,,,Santa Cruz,1812,Avenue,4300000,10,5,4,4,1,4180,17280,Menlo Park,24
Sold,Not Applicable,ML81534412,,,Darrell,332,Road,4300000,20,4,4,3,1,4190,22050,Hillsborough,62
Sold,Not Applicable,ML81534868,,,Cabrillo,1521,Avenue,4250000,6,5,5,4,1,4000,16942,Burlingame,0
Sold,Not Applicable,ML81521678,,,Los Robles,159,Drive,4100000,0,6,4,5,1,4350,12622,Burlingame,0
Sold,Not Applicable,ML81451499,,,Whiskey Hill,740,Road,4000000,345,4,4,3,1,4800,127630,Woodside,61
Sold,Not Applicable,ML81461964,,,Woodside,3665,Road,4000000,211,3,3,2,1,2120,143922,Woodside,59
Sold,Not Applicable,ML81514983,W,,Poplar,249,Avenue,3995000,3,3,4,3,0,3154,24055,San Mateo,1
Sold,Not Applicable,ML81501166,,,Zachary,8,Court,3900000,12,4,5,4,0,3130,10018,Menlo Park,17
Sold,Not Applicable,ML81521554,,,Costa Rica,638,Avenue,3900000,7,4,5,3,1,3310,20020,San Mateo,109
Sold,Not Applicable,ML81533746,,,Watkins,149,Avenue,3900000,16,3,4,2,1,2190,42025,Atherton,58
