Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Active,Not Applicable,ML81534470,,,Congress Springs,21511,Road,24888888,84,2,3,2,0,2094,215216,Saratoga,60
Active,Not Applicable,ML81563026,,,Comer,21116,Drive,24500000,7,12,7,9,3,12983,343252.8,Saratoga,12
Active,Not Applicable,ML81547137,,,Old Trace,27040,Lane,19988000,53,10,8,8,2,14855,144555,Los Altos Hills,26
Active,Not Applicable,ML81549103,,,Dawson,11627,Drive,18950000,35,6,9,5,1,16700,249163.2,Los Altos Hills,77
Active,Not Applicable,ML81500916,,,Robb,890,Road,14288000,201,8,6,7,1,8328,44207,Palo Alto,12
Active,Not Applicable,ML81562894,,,Wildcrest,13480,Drive,13895000,8,7,4,6,1,6215,83199.6,Los Altos Hills,8
Active,Not Applicable,ML81546067,,,Overlook,16040,Drive,13850000,62,7,5,5,2,11507,131551.2,Los Gatos,6
Active,Not Applicable,ML81483172,,,Elena,26880,Road,12888888,250,8,5,7,1,8232,51309,Los Altos Hills,0
Active,Not Applicable,ML81548985,,,MATILIJA,16401,Drive,11999000,36,9,6,6,3,14000,59677.2,Los Gatos,11
Active,Not Applicable,ML81561786,,,Westwind,26000,Way,11500000,15,5,5,4,1,7213,125801.28,Los Altos Hills,54
Active,Not Applicable,ML81551047,,,Melville,363,Avenue,11000000,20,7,5,5,2,6177,14123,Palo Alto,112
Active,Not Applicable,ML81518017,,,Liberata,2215,Drive,10888000,153,6,4,4,2,7490,486054,Morgan Hill,10
Active,Not Applicable,ML81521589,,,Taaffe,26991,Road,10888000,124,9,6,7,2,7968,52707,Los Altos Hills,0
Active,Not Applicable,ML81550154,,,Okeefe,24970,Lane,10800000,27,8,6,6,2,10300,80586,Los Altos Hills,26
Pending,Not Applicable,ML81562168,,,South,2203,Court,10495000,5,7,6,6,1,5289,10395,Palo Alto,0
Active,Not Applicable,ML81514369,W,,Fremont,25617,Road,8999888,129,7,5,5,2,7535,68389,Los Altos Hills,16
Active,Not Applicable,ML81518568,,,Glen Una,15880,Drive,8995000,148,5,6,4,1,6583,286105,Los Gatos,74
Active,Not Applicable,ML81549252,,,Marlowe,405,Street,8995000,34,7,6,6,1,6075,10450,Palo Alto,1
Active,Not Applicable,ML81517030,,,Tracy,14123,Court,8888000,159,6,7,6,0,5900,57783,Los Altos Hills,13
Active,Not Applicable,ML81457311,,,La Loma,25055,Drive,8000000,903,7,4,4,3,7614,43124,Los Altos Hills,0
Active,Not Applicable,ML81523046,,,Via Ventana,27886,Way,7998000,111,6,5,5,1,6362,106722,Los Altos Hills,15
Active,Not Applicable,ML80788192,,,SHANNON,14050,Road,7988000,2899,9,6,7,2,6138,1373446,Los Gatos,16
Active,Not Applicable,ML81547756,,,Country Way,13430,,7680000,48,6,6,6,0,6905,146797.2,Los Altos Hills,27
Active,Not Applicable,ML81547302,,,Hidden Hill,15781,Road,7588000,51,6,5,5,1,6500,39465.36,Los Gatos,1
Active,Not Applicable,ML81563221,,,Seale,151,Avenue,6998000,6,5,6,4,1,4468,7500,Palo Alto,0
Active,Not Applicable,ML81548302,,,Sobey,14966,Road,6800888,43,7,5,6,1,6011,46967,Saratoga,1
Active,Not Applicable,ML81563241,,,Ramona,1115,Street,6650000,6,4,6,3,1,3500,9188,Palo Alto,113
Pending,Not Applicable,ML81458268,,,Glen Una,19730,Drive,6500000,313,5,5,4,1,5500,125017,Saratoga,64
Active,Not Applicable,ML81548522,,,Catharine,26290,Court,6480000,41,4,4,3,1,4355,47202,Los Altos Hills,38
Active,Not Applicable,ML81534939,,,Biarritz,2068,Place,6400000,87,7,5,5,2,8451,47450,San Jose,13
Active,Not Applicable,ML81548467,,,Addison,728,Avenue,6388000,41,4,5,3,1,3399,5625,Palo Alto,2
Active,Not Applicable,ML81561954,,,Reynolds,16390,Drive,6375000,346,7,8,6,1,9462,117612,Morgan Hill,14
Active,Not Applicable,ML81563283,,,Lincoln,225,Avenue,6275000,6,6,5,4,2,4735,6825,Palo Alto,3
Active,Not Applicable,ML81533093,S,,Kennedy,16440,Road,5998000,147,6,5,4,2,7313,43633,Los Gatos,27
Active,Not Applicable,ML81548797,,,Tourney,218,Loop,5995000,39,6,4,4,2,5517,44285,Los Gatos,0
Active,Not Applicable,ML81330724,,,BOHLMAN,15668,Road,5950000,931,5,4,3,2,5255,220849.2,Saratoga,24
Active,Not Applicable,ML81563521,,,Alexis,2991,Drive,5950000,347,3,5,2,1,3250,47510.89,Palo Alto,38
Contingent,Not Applicable,ML81549367,,,Alexis,2979,Drive,5895000,15,6,6,5,1,5732,39822.55,Palo Alto,51
Active,Not Applicable,ML81411807,,,RANCHO MANUELLA,26173,Lane,5800000,699,4,3,3,1,3779,47436,Los Altos Hills,78
Active,Not Applicable,ML81562567,,,Sherlock,27640,Court,5772000,11,6,4,4,2,4517,91911.6,Los Altos Hills,77
Pending,Not Applicable,ML81468049,,,Shady,15657,Lane,5590000,4,8,5,7,1,8685,99316,Los Gatos,0
Active,Not Applicable,ML81516385,,,Black,19251,Road,5499000,165,4,5,3,1,6489,1286914,Los Gatos,27
Active,Not Applicable,ML81484960,,,Hidden View,20932,Lane,5488000,238,7,6,6,1,6708,273992,Saratoga,23
Active,Not Applicable,ML81518292,,,Saratoga Los Gatos,19645,Road,5390000,151,6,6,5,1,5211,43675.9,Saratoga,3
Active,Not Applicable,ML81517829,,,Madrone Hill,15374,Road,5200000,154,7,7,6,1,7179,91775,Saratoga,7
Contingent,Not Applicable,ML81546010,,,Los Serenos Robles,16260,,5150898,73,4,4,4,0,4926,50094,Los Gatos,35
Active,Not Applicable,ML81562939,,,Alpine,38,Avenue,5145000,7,6,5,5,1,4800,21671.1,Los Gatos,16
