Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81484108,,,Natoma,28030,Road,18500000,42,4,3,3,1,2448,782920,Los Altos Hills,63
Sold,Not Applicable,ML81517880,,,Emerson,1932,Street,7600000,9,6,6,6,0,5310,10000,Palo Alto,7
Sold,Not Applicable,ML81501178,,,Maude,18615,Avenue,6500000,6,7,5,6,1,7489,46288,Saratoga,13
Sold,Not Applicable,ML81468625,,,Templeton,13826,Place,6300000,76,5,5,4,1,5697,44867,Los Altos Hills,9
Sold,Not Applicable,ML81516266,,,Montalvo,15107,Road,5650000,7,5,5,5,0,5126,41963,Saratoga,0
Sold,Not Applicable,ML81499787,,,Forest,1094,Avenue,5300000,8,4,4,4,0,3861,7570,Palo Alto,19
Sold,Not Applicable,ML81501400,,,Spaich,20051,Court,5150000,2,5,4,4,1,5066,27512,Saratoga,14
Sold,Not Applicable,ML81498205,,,Ohlone,27220,Lane,5000000,50,6,5,5,1,4802,48027,Los Altos Hills,18
Sold,Not Applicable,ML81514813,,,University,168,Avenue,5000000,0,3,4,3,0,4060,27462,Los Altos,99
Sold,"Not Applicable, Comp Only",ML81517112,N,,California,450,Avenue,5000000,0,3,4,3,0,2744,8420,Palo Alto,78
Sold,Not Applicable,ML81513867,,,Center,758,Drive,4995000,8,4,4,3,1,3091,8493,Palo Alto,23
Sold,Not Applicable,ML81519245,,,Martin,1321,Avenue,4900000,5,3,4,3,0,3350,8679,Palo Alto,54
Sold,Not Applicable,ML81516579,,,Baleri Ranch,14210,Road,4875000,16,6,5,5,1,6074,47464,Los Altos Hills,32
Sold,Not Applicable,ML81517987,N,,California,611,Avenue,4728000,6,2,3,2,0,2639,8567,Palo Alto,81
Sold,Not Applicable,ML81515847,,,Robb,870,Road,4500000,9,3,4,2,1,2111,43564,Palo Alto,51
Sold,Not Applicable,ML81517607,S,,Gordon,341,Way,4500000,18,5,5,4,1,4451,13068,Los Altos,7
Sold,Not Applicable,ML81518349,,,Country Club,5471,Parkway,4500000,0,7,6,6,1,6761,17724,San Jose,20
Sold,Not Applicable,ML81498671,,,Leland,344,Avenue,4400000,14,6,5,4,2,4483,7500,Palo Alto,7
Sold,Not Applicable,ML81486287,,,Hilltop,12165,Drive,4390000,53,4,4,4,0,4409,54079,Los Altos Hills,39
Sold,Not Applicable,ML81513725,,,Webster,2570,Street,4350000,29,5,5,4,1,2981,7435,Palo Alto,0
Sold,Not Applicable,ML81460390,,,Englewood,16428,Avenue,4325000,128,5,5,4,1,4515,21780,Los Gatos,0
Sold,Not Applicable,ML81501825,,,Lincoln,584,Avenue,4280000,8,6,6,4,2,4121,13712,Los Altos,0
Sold,Not Applicable,ML81499544,,,Magdalena,540,Avenue,4250000,9,5,4,4,1,4862,20038,Los Altos,24
Sold,Not Applicable,ML81513703,,,Alto Verde,12800,Lane,4248000,8,4,3,3,1,2398,46384,Los Altos Hills,57
Sold,Not Applicable,ML81500747,,,Orchard Hill,26925,Lane,4200000,12,3,4,3,0,2450,45290,Los Altos Hills,51
Sold,Not Applicable,ML81511999,,,Santa Rita,221,Avenue,4150000,3,2,2,1,1,994,7499,Palo Alto,69
Sold,"Not Applicable, Comp Only",ML81517998,N,,California,463,Avenue,4098000,0,2,3,2,0,1771,7504,Palo Alto,65
Sold,Not Applicable,ML81514901,,,Covington,728,Road,4050000,10,4,4,3,1,3542,14842,Los Altos,64
Sold,Not Applicable,ML81515128,,,Hollow Lake,7016,Way,4050000,0,6,5,5,1,6710,25285,San Jose,1
Sold,Not Applicable,ML81499794,,,Esperanza,26303,Drive,4000000,15,3,4,3,0,2146,49186,Los Altos Hills,55
Sold,Not Applicable,ML81501622,,,Daves,17662,Avenue,3999000,31,5,4,4,1,4650,20850,Monte Sereno,5
Sold,Not Applicable,ML81459492,,,Eden Valley,22484,Court,3950000,134,7,6,5,2,6800,126760,Saratoga,24
Sold,Not Applicable,ML81485895,,,Drysdale,107,Drive,3950000,152,6,6,5,1,5079,79279,Los Gatos,9
Sold,Not Applicable,ML81511991,,,Edgewood,1605,Drive,3900000,113,2,4,2,0,2280,19810,Palo Alto,56
Sold,Not Applicable,ML81513875,,,Chaucer,555,Street,3900000,8,2,3,2,0,2187,11539,Palo Alto,85
Sold,Not Applicable,ML81513097,W,,Portola,359,Avenue,3850000,19,4,4,3,1,4172,10598,Los Altos,31
Sold,Not Applicable,ML81516000,,,Jackson,588,Drive,3820000,7,3,5,3,0,2086,8011,Palo Alto,65
Sold,Not Applicable,ML81465790,,,Arnerich,14500,Road,3800000,103,5,5,4,1,5278,390298,Los Gatos,33
Sold,Not Applicable,ML81512117,,,Reservoir,85,Road,3749000,14,4,4,4,0,4410,22940,Los Gatos,15
Sold,Not Applicable,ML81516990,,,Ramona,2844,Street,3730000,8,3,4,3,0,3066,9386,Palo Alto,65
Sold,Not Applicable,ML81513798,,,Stanford,271,Avenue,3700000,7,3,5,3,0,2584,7500,Palo Alto,87
Sold,Not Applicable,ML81463116,,,Magdalena,550,Avenue,3681250,118,6,5,5,1,4216,20038,Los Altos,8
Sold,Not Applicable,ML81499338,,,Pepper,15370,Lane,3650000,7,4,4,3,1,3802,43560,Saratoga,65
Sold,Not Applicable,ML81517873,,,Carado,25727,Court,3650000,11,3,4,2,1,2514,47539,Los Altos Hills,44
Sold,Not Applicable,ML81457617,,,Via Del Sur,15174,,3600000,148,4,5,4,0,4077,35284,Monte Sereno,36
Sold,Not Applicable,ML81513648,,,Juanita,420,Way,3600000,7,3,3,3,0,2700,10454,Los Altos,47
Sold,Not Applicable,ML81516582,,,Via Caballero,15365,,3575000,24,4,5,3,1,3850,22800,Monte Sereno,5
Sold,Not Applicable,ML81517869,,,University,1130,Avenue,3575000,13,3,5,3,0,2925,11882,Palo Alto,90
Sold,Not Applicable,ML81513850,,,Del Monte,171,Avenue,3550000,3,5,4,3,2,3620,7750,Los Altos,0
Sold,Not Applicable,ML81500841,,,La Para,833,Avenue,3525000,15,3,4,3,0,1940,13790,Palo Alto,36
Sold,Not Applicable,ML81517045,,,Guinda,803,Street,3510000,5,3,5,3,0,2260,7382,Palo Alto,93
Sold,Not Applicable,ML81498676,,,Alvarado,104,Avenue,3500000,36,2,3,2,0,1400,21910,Los Altos,78
Sold,Not Applicable,ML81516017,,,Giralda,605,Drive,3500000,7,3,4,3,0,3156,11050,Los Altos,10
Sold,Not Applicable,ML81468865,,,Nutwood,14494,Lane,3499888,105,4,4,4,0,3481,41087,Saratoga,48
Sold,Not Applicable,ML81469088,,,Butano,14780,Terrace,3450000,130,5,7,5,0,7697,74924,Saratoga,48
Sold,Not Applicable,ML81500617,,,Waverly Place,135,,3450000,11,5,5,4,1,3030,8276,Mountain View,13
Sold,Not Applicable,ML81501197,,,Oak,14434,Place,3450000,111,4,5,4,0,4338,30000,Saratoga,52
Sold,Not Applicable,ML81499460,,,Delson,13120,Court,3426000,8,3,4,3,0,3370,45248,Los Altos Hills,37
Sold,Not Applicable,ML81499509,,,Peregrino,1726,Way,3425000,16,7,5,5,2,5965,17860,San Jose,7
Sold,Not Applicable,ML81499751,,,Colorado,380,Avenue,3400000,13,3,4,3,0,2396,5500,Palo Alto,3
Sold,Not Applicable,ML81501598,,,Oak,18421,Drive,3400000,7,5,6,5,0,4150,46609,Monte Sereno,10
Sold,Not Applicable,ML81513277,,,Crestview,1605,Drive,3400000,2,4,4,3,1,2707,13068,Los Altos,60
Sold,Not Applicable,ML81514591,,,Mount Eden,23490,Road,3400000,85,5,5,4,1,5195,42568,Saratoga,16
Sold,Not Applicable,ML81486460,,,Waverley,3246,Street,3375000,39,4,4,3,1,2450,6250,Palo Alto,0
Sold,Not Applicable,ML81484987,,,Via Pinto,15234,,3350000,87,5,5,3,2,3683,27814,Monte Sereno,21
Sold,Not Applicable,ML81498873,,,La Rinconada,14777,,3340000,11,3,4,3,0,3737,20645,Los Gatos,16
Sold,Not Applicable,ML81500869,,,Summerhill,24591,Court,3316000,61,2,3,2,0,1553,47455,Los Altos,62
Sold,Not Applicable,ML81499279,,,Dawnridge,24269,Drive,3308000,8,3,3,3,0,3397,43560,Los Altos Hills,53
Sold,Not Applicable,ML81499282,,,Montalvo,14850,Road,3300000,10,3,4,3,0,3225,25512,Saratoga,21
Sold,Not Applicable,ML81511979,,,Emerson,2170,Street,3300000,13,2,3,2,0,1400,5625,Palo Alto,59
Sold,Not Applicable,ML81515092,E,,Sunset,13210,Drive,3300000,7,2,2,2,0,1485,107981,Los Altos Hills,66
Sold,Not Applicable,ML81518910,,,Deerfield,25731,Drive,3300000,16,3,4,3,0,2772,20822,Los Altos Hills,63
Sold,Not Applicable,ML81501186,,,La Loma,24990,Drive,3280000,3,3,3,2,1,3406,53292,Los Altos Hills,59
Sold,Not Applicable,ML81517614,,,Gardenia,865,Way,3280000,11,4,4,4,0,2871,13116,Los Altos,56
Sold,Not Applicable,ML81513818,,,Clara,907,Drive,3250000,12,3,5,3,0,2200,6670,Palo Alto,7
Sold,Not Applicable,ML81501655,,,Pine,245,Lane,3215000,10,3,3,3,0,2208,13569,Los Altos,58
Sold,Not Applicable,ML81514936,,,Kensington,1560,Circle,3203000,7,3,3,3,0,2418,12500,Los Altos,54
Sold,Not Applicable,ML81517905,,,Parma,1098,Way,3203000,8,2,3,2,0,2123,11042,Los Altos,55
Sold,Not Applicable,ML81470606,,,Los Gatos,234,Boulevard,3195000,69,4,4,4,0,4029,9036,Los Gatos,0
Sold,Not Applicable,ML81469469,,,Aztec Ridge,16371,Drive,3150000,105,5,5,4,1,4622,88427,Los Gatos,35
Sold,Not Applicable,ML81513796,,,Tasso,2320,Street,3150000,20,3,4,3,0,2215,5000,Palo Alto,86
Sold,Not Applicable,ML81513032,,,Beauchamps,11995,Lane,3130000,61,4,4,4,0,4072,43744,Saratoga,27
Sold,Not Applicable,ML81513658,,,Pepper,111,Drive,3126000,7,4,4,3,1,2916,14810,Los Altos,35
Sold,Not Applicable,ML81513390,,,Morton,1595,Avenue,3125000,24,5,5,4,1,3357,10454,Los Altos,0
Sold,Not Applicable,ML81515570,,,Auzerais,100,Court,3100000,32,5,4,4,1,7634,40051,Los Gatos,28
Sold,Not Applicable,ML81515668,,,COUNTRY CLUB,1380,Drive,3100000,8,4,4,3,1,2973,9583,Los Altos,12
Sold,Not Applicable,ML81516022,,,2nd,110,Street,3100000,6,1,3,1,0,1098,7100,Los Altos,95
Sold,Not Applicable,ML81499382,,,FARNDON,2012,Avenue,3000000,9,3,4,3,0,2586,10019,Los Altos,63
Sold,Not Applicable,ML81499748,,,Santa Rita,217,Court,3000000,15,5,5,4,1,3342,11969,Los Altos,0
Sold,Not Applicable,ML81500890,,,Los Altos,285,Court,3000000,18,5,6,4,1,3017,11840,Los Altos,24
