Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81460943,W,,Fremont,25311,Road,8100000,38,6,5,5,1,5873,46609,Los Altos Hills,17
Sold,Not Applicable,ML81466013,,,Marlowe,400,Street,8069000,23,5,5,3,2,4235,12926,Palo Alto,80
Sold,Not Applicable,ML81460222,,,Burke,25500,Lane,7998000,16,5,5,4,1,5761,45302,Los Altos Hills,18
Sold,Not Applicable,ML81463851,,,Tennyson,627,Avenue,7450000,9,8,6,7,1,5000,7500,Palo Alto,0
Sold,Not Applicable,ML81458739,,,Laura,28080,Court,7200388,46,8,5,6,2,9212,114563,Los Altos Hills,14
Sold,Not Applicable,ML81413676,,,LA CRESTA,12638,Court,6643000,373,5,5,5,0,4850,60113,Los Altos Hills,15
Sold,Not Applicable,ML81464928,,,Cherry,544,Avenue,6549000,7,8,7,7,1,6426,15682,Los Altos,9
Sold,Not Applicable,ML81462226,,,Daves,18138,Avenue,6500000,17,7,5,6,1,5770,79279,Monte Sereno,7
Sold,Not Applicable,ML81468344,W,,Portola,400,Avenue,6300000,8,6,6,5,1,5333,24168,Los Altos,12
Sold,Not Applicable,ML81464588,,,Madrone,16721,Avenue,5800000,35,13,12,12,1,12501,914760,Los Gatos,131
Sold,Not Applicable,ML81465919,,,Mundell,475,Way,5750000,1,4,5,3,1,4981,23968,Los Altos,11
Sold,Not Applicable,ML81449957,,,Cerro Vista,15950,Drive,5695000,108,6,5,5,1,6000,54375,Los Gatos,7
Sold,Not Applicable,ML81464465,,,THREE OAKS,14815,Court,5600000,3,6,5,5,1,5140,41818,Saratoga,25
Sold,Not Applicable,ML81467065,,,Rosita,678,Avenue,5500000,9,6,5,5,1,4102,20708,Los Altos,0
Sold,Not Applicable,ML81460597,S,,Kennedy,16360,Road,5300000,22,5,6,5,0,5168,54886,Los Gatos,13
Sold,Not Applicable,ML81466362,,,Forest,1102,Avenue,5100000,15,4,4,3,1,4000,9826,Palo Alto,19
Sold,Not Applicable,ML81465118,,,Homer,835,Avenue,4988000,13,5,5,4,1,3000,7500,Palo Alto,0
Sold,Not Applicable,ML81446030,,,Moody,26171,Road,4895000,152,5,4,4,1,5695,52272,Los Altos Hills,12
Sold,Not Applicable,ML81461227,,,Orange,506,Avenue,4800000,19,5,5,3,2,3257,10842,Los Altos,1
Sold,Not Applicable,ML81462246,,,Guinda,930,Street,4790000,22,4,5,4,0,3938,7500,Palo Alto,25
Sold,New Subdivision,ML81469638,,,Gum Tree,15685,Lane,4723586,0,7,5,6,1,6644,88862,Los Gatos,0
Sold,Not Applicable,ML81465160,,,Center,802,Drive,4500000,7,4,5,3,1,3150,10009,Palo Alto,61
Sold,Not Applicable,ML81445737,,,VIA DE MARCOS,14742,,4440000,117,6,5,4,2,5143,51401,Saratoga,21
Sold,Not Applicable,ML81454261,,,Joandra,608,Court,4350000,58,5,6,4,1,4289,22299,Los Altos,0
Sold,Not Applicable,ML81468612,,,Tennyson,659,Avenue,4310000,8,3,4,3,0,2803,7499,Palo Alto,24
Sold,Not Applicable,ML81466305,,,Almaden,26937,Court,4250000,15,6,4,5,1,4035,43560,Los Altos Hills,46
Sold,Not Applicable,ML81454245,,,Rolling Hills,22505,Road,4180000,81,9,7,7,2,6250,270508,Saratoga,60
Sold,Not Applicable,ML81467249,,,Lowell,129,Avenue,4130000,6,3,4,2,1,2641,5000,Palo Alto,31
Sold,Not Applicable,ML81457495,,,Montewood,18811,Drive,4100000,37,6,7,5,1,6440,47916,Saratoga,43
Sold,Not Applicable,ML81464428,,,Matadero,906,Court,4100000,18,4,4,4,0,4610,31107,Palo Alto,41
Sold,Not Applicable,ML81468141,,,Hammond,22248,Way,4100000,5,5,4,3,2,4392,30742,Cupertino,15
Sold,Not Applicable,ML81463481,,,Audrey Smith,28011,Lane,4048000,61,5,5,3,2,4884,40075,Saratoga,17
Sold,Not Applicable,ML81456661,,,Lincoln,1270,Avenue,4000000,40,4,4,4,0,3040,9711,Palo Alto,30
Sold,Not Applicable,ML81462972,,,Villa Oaks,21836,Lane,4000000,12,5,4,4,1,4567,44431,Saratoga,24
Sold,Not Applicable,ML81463612,,,Cowper,3180,Street,3964000,23,4,7,4,0,3390,10545,Palo Alto,8
