Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81463238,,,Atherton,214,Avenue,19500000,8,12,7,8,4,14827,55468,Atherton,0
Sold,Not Applicable,ML81460735,,,Woodside,3793,Road,18900000,17,4,4,3,1,3380,612192,Woodside,63
Sold,Not Applicable,ML81448896,,,Isabella,132,Avenue,17700000,193,9,6,7,2,15418,74357,Atherton,1
Sold,Not Applicable,ML81445612,,,Whiskey Hill,437,Road,13990000,133,6,6,5,1,5900,314067,Woodside,11
Sold,Not Applicable,ML81467028,,,Cinnabar,240,Road,12875000,46,6,4,4,2,12938,131116,Woodside,24
Sold,Not Applicable,ML81331402,,,ISABELLA,91,Avenue,12800000,677,11,6,8,3,14358,59677,Atherton,21
Sold,Not Applicable,ML81469228,,,Mountain Home,410,Road,12500000,3,6,6,5,1,4990,197240,Woodside,88
Sold,Not Applicable,ML81465079,,,Tuscaloosa,172,Avenue,12000000,17,7,5,5,2,6910,81320,Atherton,47
Sold,Not Applicable,ML81450644,,,Almendral,89,Avenue,11088000,172,8,5,6,2,7140,66500,Atherton,9
Sold,Not Applicable,ML81469199,,,Park,216,Lane,10200000,10,3,4,3,0,3300,54624,Atherton,95
Sold,Not Applicable,ML81433200,,,EUCALYPTUS,808,Avenue,9550000,274,7,6,6,1,10000,89080,Hillsborough,89
Sold,Not Applicable,ML81459536,,,Manzanita,680,Way,9500000,109,5,5,4,1,5832,236500,Woodside,94
Sold,Not Applicable,ML81500324,,,Mount Vernon,10,Lane,9000000,5,7,6,5,2,8038,43195,Atherton,13
Sold,Not Applicable,ML81467993,,,Stern,88,Lane,8900000,16,4,4,4,0,3300,43350,Atherton,55
Sold,Not Applicable,ML81455215,,,Sargent,10,Lane,8450000,55,7,5,5,2,5132,105894,Atherton,78
Sold,Not Applicable,ML81432400,,,RALSTON,10,Court,8400000,280,7,6,6,1,6885,89602,Hillsborough,4
Sold,Not Applicable,ML81464412,,,Eucalyptus,832,Avenue,8388000,11,6,7,5,1,7800,60113,Hillsborough,88
Sold,Not Applicable,ML81470299,,,Fallen Leaf,101,Drive,8250000,9,7,5,4,3,8107,42494,Hillsborough,74
Sold,Not Applicable,ML81466738,,,Selby,400,,8000000,0,6,3,5,1,3460,50403,Atherton,60
Sold,Not Applicable,ML81485438,,,Canada,1166,Road,7800000,12,5,4,4,1,7285,130680,Woodside,55
Sold,Not Applicable,ML81497036,,,Mountain Home,568,Road,7400000,20,3,5,2,1,3460,135472,Woodside,46
Sold,Not Applicable,ML81465794,,,Juniper,72,Drive,7250000,7,6,5,5,1,6150,37122,Atherton,56
Sold,Not Applicable,ML81454124,,,Toyon,128,Road,7000000,156,7,5,6,1,6456,43890,Atherton,3
Sold,Not Applicable,ML81470169,,,Mandarin,97,Way,6800000,35,4,5,3,1,3970,43725,Atherton,20
Sold,Not Applicable,ML81460426,,,Boroughwood,20,Place,6600000,31,5,5,4,1,5470,87120,Hillsborough,35
Sold,Not Applicable,ML81465686,,,San Mateo,375,Drive,6600000,1,6,6,5,1,5766,11840,Menlo Park,11
Sold,"Not Applicable, Comp Only",ML81497887,,,Oakfield,570,,6600000,0,5,5,4,1,4330,13054,Menlo Park,0
Sold,Not Applicable,ML81500323,,,Moore,475,Road,6500000,14,5,3,3,2,4865,130723,Woodside,6
Sold,Not Applicable,ML81464427,,,Bay Laurel,1210,Drive,6350000,12,7,6,5,2,5200,10500,Menlo Park,9
Sold,Not Applicable,ML81466578,,,Stockbridge,269,Avenue,6050000,15,4,5,4,0,4200,45144,Atherton,57
Sold,Not Applicable,ML81463720,,,Oak,1740,Avenue,5875000,32,6,6,5,1,5259,11610,Menlo Park,0
Sold,Not Applicable,ML81468638,,,Darrell,620,Road,5850000,48,6,5,5,1,5676,23405,Hillsborough,0
Sold,Not Applicable,ML81471033,,,Barroilhet,1150,Drive,5800000,39,4,5,4,0,6120,29250,Hillsborough,35
Sold,Not Applicable,ML81462937,,,Summit,2275,Drive,5600000,33,6,8,5,1,6600,101495,Hillsborough,101
Sold,Not Applicable,ML81465703,,,Brewer,710,Drive,5600000,22,4,5,3,1,4100,28069,Hillsborough,95
Sold,"Not Applicable, Comp Only",ML81498521,,,Reservoir,105,Road,5580000,0,5,4,5,0,3580,51345,Atherton,66
Sold,Not Applicable,ML81465422,,,Tournament,1315,Drive,5500000,96,7,6,6,1,6450,38999,Hillsborough,28
Sold,Not Applicable,ML81470323,,,Walsh,499,Road,5500000,23,4,5,3,1,4480,44867,Atherton,45
Sold,Not Applicable,ML81485649,,,Atkinson,1015,Lane,5400000,35,6,5,5,1,5108,10400,Menlo Park,0
Sold,Not Applicable,ML81497808,,,Hillview,1355,Drive,5398000,18,5,5,4,1,3768,10800,Menlo Park,0
Sold,Not Applicable,ML81497490,,,Josselyn,175,Lane,5375000,8,5,4,4,1,4000,169448,Woodside,37
Sold,Not Applicable,ML81500118,N,,Lemon,1180,Avenue,5350000,2,6,7,5,1,5310,10589,Menlo Park,2
Sold,Not Applicable,ML81459274,,,Rockridge,100,Road,5300000,44,6,5,5,1,4870,30928,Hillsborough,57
Sold,"Not Applicable, Comp Only",ML81498524,,,Parkwood,73,Drive,5300000,0,4,5,4,0,3900,45627,Atherton,60
Sold,Not Applicable,ML81465436,,,Pullman,410,Road,5250000,24,5,5,5,0,5490,87556,Hillsborough,48
Sold,Not Applicable,ML81472587,,,San Raymundo,1030,Road,5100000,34,5,5,4,1,4483,18560,Hillsborough,87
Sold,Not Applicable,ML81496929,,,Bridge,233,Road,5075000,11,5,5,5,0,4375,23400,Hillsborough,65
Sold,Not Applicable,ML81471478,,,Shoshone,20,Place,4950000,6,4,5,4,0,4203,49693,Portola Valley,56
Sold,Not Applicable,ML81465383,,,Nora,87,Way,4850000,4,5,4,4,1,5052,22500,Atherton,0
Sold,Not Applicable,ML81485185,,,Toyon,198,Road,4850000,10,3,4,3,0,4050,45302,Atherton,63
Sold,"Not Applicable, Comp Only",ML81498507,,,Sharon Park,730,Drive,4850000,0,5,4,4,1,3900,13334,Menlo Park,1
Sold,Not Applicable,ML81463201,,,Adam,1,Way,4800000,34,4,4,3,1,3270,39975,Atherton,60
Sold,Not Applicable,ML81484725,,,Adair,35,Lane,4800000,32,3,4,3,0,3581,47045,Portola Valley,55
Sold,Not Applicable,ML81466522,,,Woodstock,664,Road,4705000,7,5,5,4,1,4020,15000,Hillsborough,85
Sold,Not Applicable,ML81485404,,,James,107,Avenue,4700000,12,3,4,2,1,2180,41160,Atherton,61
Sold,Not Applicable,ML81455714,,,Kingswood,1520,Drive,4625000,135,6,5,5,1,4527,21780,Hillsborough,0
