Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81498118,,,Tennyson,643,Avenue,7750000,0,4,6,4,0,5417,10000,Palo Alto,14
Sold,Not Applicable,ML81471001,,,Burke,25611,Lane,7470000,2,7,6,6,1,6359,47215,Los Altos Hills,0
Sold,Not Applicable,ML81455771,,,Edgewood,1499,Drive,6950000,99,4,5,3,1,4725,22216,Palo Alto,69
Sold,Not Applicable,ML81483659,,,Washington,546,Avenue,6800000,9,3,4,3,0,3479,13355,Palo Alto,89
Sold,Not Applicable,ML81485149,,,Moon,13824,Lane,6788000,26,7,5,5,2,5652,70567,Los Altos Hills,15
Sold,Not Applicable,ML81469766,,,Webster,1975,,6600000,9,3,4,3,0,3038,10000,Palo Alto,79
Sold,Not Applicable,ML81439162,,,MATILIJA,16371,Drive,6505000,285,5,4,3,2,7107,78844,Los Gatos,56
Sold,Not Applicable,ML81497921,,,Saratoga Los Gatos,19370,Road,6500000,456,6,5,5,1,6570,184084,Saratoga,90
Sold,Not Applicable,ML81455373,,,SARATOGA - LOS GATOS,18203,Road,6350000,140,8,5,5,3,7000,1.28,Monte Sereno,35
Sold,Not Applicable,ML81469364,,,Viewfield,15850,Road,6350000,13,7,5,5,2,7080,116405,Monte Sereno,0
Sold,Not Applicable,ML81483634,,,Rolling Hills,22000,Road,6300000,39,6,4,5,1,5465,95832,Saratoga,6
Sold,Not Applicable,ML81469805,,,Center,526,Drive,6100000,7,5,5,4,1,3131,14238,Palo Alto,84
Sold,Not Applicable,ML81462681,,,Webster,1730,Street,5650000,69,3,4,2,1,2908,10000,Palo Alto,109
Sold,"Not Applicable, Comp Only",ML81471125,,,Garland,198,Way,5500000,0,4,3,4,0,4071,20553,Los Altos,12
Sold,Not Applicable,ML81470860,,,Garland,182,Way,5250000,39,5,5,3,2,3912,20481,Los Altos,22
Sold,Not Applicable,ML81467303,,,Adobe Creek,1,Way,5200000,37,4,4,3,1,4285,11522,Los Altos,15
Sold,Not Applicable,ML81469417,,,Sobey,14910,Road,5188000,22,6,5,5,1,5465,41099,Saratoga,10
Sold,Not Applicable,ML81437789,,,SANTELLA,15330,Court,4906179,289,7,5,6,1,7212,57633,Los Gatos,0
Sold,Not Applicable,ML81484717,,,Madrone,16700,Avenue,4850000,11,7,4,4,3,5251,88862,Los Gatos,54
Sold,Not Applicable,ML81496525,,,Pitman,1417,Avenue,4600000,8,3,5,3,0,2809,9260,Palo Alto,57
Sold,Not Applicable,ML81486327,,,Ciceroni,13781,Lane,4500000,7,3,6,3,0,3553,52753,Los Altos Hills,62
Sold,Not Applicable,ML81498541,,,Marshall,2593,Street,4350000,8,6,5,5,1,3090,7400,Palo Alto,0
Sold,Not Applicable,ML81456213,,,Reservoir,80,Road,4300000,94,5,5,4,1,5584,36174,Los Gatos,7
Sold,Not Applicable,ML81483370,,,Hamilton,964,Avenue,4250000,14,3,4,2,1,2240,9300,Palo Alto,88
Sold,Not Applicable,ML81496510,,,Churchill,440,Avenue,4200000,23,3,4,3,0,2479,7500,Palo Alto,38
Sold,"Not Applicable, Comp Only",ML81472986,W,,Portola,25,Avenue,4125000,132,6,8,5,1,5437,10019,Los Altos,7
Sold,Not Applicable,ML81484044,,,Briones,27600,Court,4100000,8,4,4,4,0,3398,41313,Los Altos Hills,40
Sold,Not Applicable,ML81484204,,,Littlefield,16756,Lane,4069000,0,5,5,4,1,5453,11703,Los Gatos,7
Sold,Not Applicable,ML81497009,,,Bryant,951,Street,4050000,12,4,4,3,1,2831,5663,Palo Alto,117
Sold,Not Applicable,ML81470892,,,Liddicoat,14388,Circle,4025000,14,3,4,3,0,3013,58831,Los Altos Hills,44
Sold,Not Applicable,ML81471547,,,Garland,216,Way,4025000,9,3,4,3,0,2827,19950,Los Altos,68
Sold,Not Applicable,ML81471621,,,Palm,0,Avenue,4000000,19,1,1,1,0,819,17852,Los Altos,83
Sold,Not Applicable,ML81471000,,,Doud,25,Drive,3998000,7,4,5,3,1,3753,19608,Los Altos,47
Sold,Not Applicable,ML81465955,,,Chester,14318,Avenue,3950000,53,6,5,5,1,4946,49223,Saratoga,32
Sold,Not Applicable,ML81498687,,,Byron,2151,Street,3910000,8,4,4,3,1,2244,6600,Palo Alto,79
Sold,Not Applicable,ML81472042,,,Santa Barbara,470,Drive,3895000,7,4,5,4,0,3109,10668,Los Altos,73
Sold,Not Applicable,ML81486246,,,Chiquita,21133,Way,3888000,66,6,6,5,1,4980,78583,Saratoga,39
Sold,Not Applicable,ML81483616,,,Twin Creeks,18600,Road,3802500,23,4,4,4,0,4372,89733,Saratoga,45
Sold,Not Applicable,ML81498201,,,Saint Francis,26895,Road,3730000,9,5,5,4,1,4800,45656,Los Altos Hills,56
Sold,Not Applicable,ML81472131,,,Mora,748,Drive,3705000,9,4,5,3,1,3864,46368,Los Altos,52
Sold,Not Applicable,ML81483291,,,Sycamore,909,Drive,3700000,10,4,4,3,1,2832,7911,Palo Alto,4
Sold,Not Applicable,ML81483877,,,Hamilton,1576,Avenue,3700000,8,2,3,2,0,2046,8750,Palo Alto,67
Sold,Not Applicable,ML81484050,,,seale,660,Avenue,3700000,13,2,3,2,0,1769,6970,Palo Alto,69
Sold,Not Applicable,ML81469743,,,Van Buren,516,Street,3660000,13,3,6,3,0,2576,23491,Los Altos,75
Sold,Not Applicable,ML81484087,,,Channing,363,Avenue,3650000,7,4,3,3,1,2425,4420,Palo Alto,11
Sold,Not Applicable,ML81470511,,,Stacia,138,Street,3576000,9,5,5,5,0,3919,14122,Los Gatos,10
Sold,Not Applicable,ML81460275,,,Monroe,191,Drive,3558000,62,5,5,4,1,3942,12090,Palo Alto,0
Sold,Not Applicable,ML81461026,,,Mendelsohn,20087,Lane,3525000,192,4,4,3,1,3788,19630,Saratoga,20
Sold,Not Applicable,ML81435346,,,LELAND,14450,Circle,3500000,281,5,5,5,0,6131,85000,Saratoga,34
Sold,Not Applicable,ML81485397,,,Brendel,12932,Drive,3500000,17,3,5,2,1,4137,62771,Los Altos Hills,47
Sold,Not Applicable,ML81452351,,,Nash,848,Road,3495000,148,3,2,2,1,2845,19166,Los Altos,11
Sold,Not Applicable,ML81469451,,,Sobey,15314,Road,3475875,56,4,4,3,1,5376,45981,Saratoga,25
Sold,Not Applicable,ML81483986,,,Pine,1259,Street,3458889,9,2,3,2,0,1400,8100,Palo Alto,61
Sold,Not Applicable,ML81497322,N,,California,170,Avenue,3407000,10,2,4,2,0,1593,7183,Palo Alto,78
Sold,Not Applicable,ML81468689,,,Taaffe,26460,,3400000,42,5,4,4,1,4247,43996,Los Altos Hills,35
Sold,Not Applicable,ML81498148,,,Blue Oak,308,Lane,3375000,9,3,4,3,0,3190,15246,Los Altos,59
Sold,Not Applicable,ML81470554,S,,SPRINGER,738,Road,3350000,8,5,5,4,1,3764,14955,Los Altos,8
Sold,Not Applicable,ML81471719,,,Twin Creeks,18499,Road,3350000,10,3,5,3,0,3044,27443,Monte Sereno,47
Sold,Not Applicable,ML81465387,,,Ellenwood,63,Avenue,3315000,55,4,5,4,0,3341,11100,Los Gatos,7
Sold,Not Applicable,ML81483538,,,Harleigh,19223,Drive,3300000,9,4,5,3,1,3325,21223,Saratoga,50
Sold,Not Applicable,ML81485748,,,Green Oak,1243,Lane,3300000,16,4,4,4,0,3418,10019,Los Altos,26
Sold,Not Applicable,ML81462239,,,Kilbride,20436,Court,3285000,80,5,5,4,1,4655,15146,Saratoga,27
Sold,Not Applicable,ML81485186,,,Deer Trail,13506,Court,3285000,108,5,4,4,1,4041,47602,Saratoga,19
Sold,Not Applicable,ML81464487,,,Peach Hill,15250,Road,3260000,52,5,4,5,0,3783,43124,Saratoga,50
Sold,Not Applicable,ML81470942,,,Santa Rita,779,Avenue,3215000,7,3,4,3,0,2606,13012,Los Altos,73
Sold,Not Applicable,ML81470936,,,Coronado,216,Avenue,3195000,9,4,3,2,2,2710,10862,Los Altos,50
Sold,Not Applicable,ML81469608,E,,Portola,146,Avenue,3155000,7,3,4,3,0,2291,12070,Los Altos,68
Sold,Not Applicable,ML81468699,,,Everett,360,Avenue,3150000,46,3,3,3,0,2064,1742,Palo Alto,54
Sold,Not Applicable,ML81472044,,,Winding,11634,Way,3150000,30,3,4,3,0,3259,8188,Los Altos,0
Sold,Not Applicable,ML81472404,,,Central,150,Avenue,3150000,38,5,5,4,1,3663,9049,Los Gatos,0
Sold,Not Applicable,ML81472778,,,Bryant,1944,Street,3125000,7,3,4,3,0,2170,5000,Palo Alto,90
Sold,Not Applicable,ML81469552,,,Old Ranch,11585,Road,3120000,47,3,3,2,1,2301,44502,Los Altos Hills,53
Sold,Not Applicable,ML81498430,,,Ramona,2570,Street,3116688,8,3,4,3,0,2485,8070,Palo Alto,68
Sold,Not Applicable,ML81463024,,,Princess Elleena,24044,Court,3100000,69,3,5,3,0,2733,54014,Los Altos Hills,43
Sold,Not Applicable,ML81471879,,,Chateau,241,Drive,3100000,8,3,4,2,1,2673,10044,Los Altos,49
Sold,Not Applicable,ML81483881,,,Dawson,11666,Drive,3100000,9,3,4,3,0,2677,66169,Los Altos Hills,34
Sold,Not Applicable,ML81484014,,,Yerba Santa,250,Avenue,3055000,8,2,3,2,0,1766,10890,Los Altos,59
Sold,Not Applicable,ML81469310,,,Laureles,1138,Drive,3050000,10,3,3,2,1,1728,15882,Los Altos,60
Sold,Not Applicable,ML81498661,,,Alma Jo,15288,Court,3050000,49,4,5,3,1,4428,35684,Monte Sereno,42
Sold,Not Applicable,ML81496502,,,Dana,1489,Avenue,3046875,9,2,3,2,0,1856,7200,Palo Alto,69
Sold,Not Applicable,ML81497077,,,Tricia,20459,Way,3021000,12,3,4,2,1,3017,15026,Saratoga,31
Sold,Not Applicable,ML81469582,,,Rhodes,538,Drive,3000000,10,2,3,2,0,1580,8276,Palo Alto,65
Sold,Not Applicable,ML81469863,,,Van Buren,1823,Circle,3000000,9,3,4,3,0,2852,12531,Mountain View,50
Sold,Not Applicable,ML81484072,,,Bryant,3657,Street,3000000,23,3,4,3,0,2228,6147,Palo Alto,63
Sold,Not Applicable,ML81485326,,,Winding,11638,Way,3000000,8,4,4,4,0,3164,7153,Los Altos,0
Sold,Not Applicable,ML81467324,,,University,551,Avenue,2988000,42,2,3,2,0,2255,6525,Los Altos,87
Sold,Not Applicable,ML81496507,,,Canario,12723,Way,2966000,7,3,4,2,1,2697,47208,Los Altos Hills,56
Sold,Not Applicable,ML81472848,,,Blythswood,18821,Drive,2940000,56,4,5,3,1,4365,59677,Los Gatos,51
Sold,Not Applicable,ML81486143,,,Paramount,12980,Court,2940000,20,5,4,4,1,3396,44608,Saratoga,55
Sold,Not Applicable,ML81470765,,,Sycamore,10949,Drive,2925000,15,4,4,3,1,3125,12197,Cupertino,15
Sold,Not Applicable,ML81465902,,,RAE,10703,Lane,2900000,39,4,5,4,0,3998,10890,Cupertino,26
Sold,Not Applicable,ML81485197,,,Elsinore,925,Drive,2900000,8,3,4,3,0,2216,10454,Palo Alto,60
Sold,Not Applicable,ML81464312,,,Ranfre,19315,Lane,2890000,25,4,5,4,0,3473,16500,Saratoga,7
Sold,Not Applicable,ML81486168,,,Shady Creek,675,Lane,2890000,8,3,4,2,1,2696,16639,Los Altos,39
Sold,Not Applicable,ML81466369,,,Channing,2070,,2888000,79,3,3,2,1,2958,3629,Palo Alto,0
Sold,Not Applicable,ML81483766,,,Channing,2062,Avenue,2888000,32,3,3,2,1,2911,3376,Palo Alto,0
Sold,Not Applicable,ML81497109,,,Montauk,19643,Drive,2888000,50,3,6,3,0,3211,35872,Saratoga,41
Sold,Not Applicable,ML81472352,,,Morton,1598,Avenue,2880000,28,4,4,3,1,3088,9954,Los Altos,12
Sold,Not Applicable,ML81484678,,,Pine,17025,Avenue,2880000,41,3,5,3,0,2909,12283,Los Gatos,9
Sold,Not Applicable,ML81469467,,,Eastview,14718,Drive,2859150,22,4,5,3,1,3001,33814,Los Gatos,52
Sold,Not Applicable,ML81458075,,,Shirley,1609,Avenue,2850000,90,4,4,3,1,3062,11761,Los Altos,17
Sold,Not Applicable,ML81485167,,,Bryant,345,Court,2850000,8,3,3,2,1,1936,3485,Palo Alto,9
Sold,Not Applicable,ML81498704,,,Payne,1202,Drive,2828000,6,4,4,3,1,2504,9944,Los Altos,76
Sold,Not Applicable,ML81469581,,,Cork Oak,3435,Way,2810000,7,3,5,3,0,2027,9711,Palo Alto,55
Sold,Not Applicable,ML81470496,,,Oak,1733,Avenue,2810000,10,3,4,2,1,2784,9662,Los Altos,48
Sold,Not Applicable,ML81470533,,,Buena Vista,17265,Avenue,2800000,4,3,4,3,0,3393,12197,Los Gatos,19
Sold,Not Applicable,ML81484069,,,Traverso,422,Court,2800000,8,3,3,2,1,2186,9703,Los Altos,62
Sold,Not Applicable,ML81484477,,,San Marcos,19421,Road,2800000,21,2,3,2,0,1951,48547,Saratoga,68
Sold,Not Applicable,ML81486253,,,La Prenda Rd,440,Road,2800000,9,2,3,2,0,2309,10628,Los Altos,63
Sold,Not Applicable,ML81457778,,,Mulberry,1710,Lane,2780000,85,6,5,4,2,4125,9296,San Jose,52
Sold,Not Applicable,ML81469806,,,Marich,363,Way,2755000,12,3,4,2,1,2055,9999,Los Altos,53
Sold,Not Applicable,ML81486341,,,Fargo,20846,Drive,2750000,8,3,5,3,0,3618,9675,Cupertino,19
