Active,Not Applicable,ML81534470,21511 Congress Springs Road,24888888,84,2,3,2,0,2094,215216,Saratoga,60
Active,Not Applicable,ML81563026,21116 Comer Drive,24500000,7,12,7,9,3,12983,343252.8,Saratoga,12
Active,Not Applicable,ML81547137,27040 Old Trace Lane,19988000,53,10,8,8,2,14855,144555,Los Altos Hills,26
Active,Not Applicable,ML81549103,11627 Dawson Drive,18950000,35,6,9,5,1,16700,249163.2,Los Altos Hills,77
Active,Not Applicable,ML81500916,890 Robb Road,14288000,201,8,6,7,1,8328,44207,Palo Alto,12
Active,Not Applicable,ML81562894,13480 Wildcrest Drive,13895000,8,7,4,6,1,6215,83199.6,Los Altos Hills,8
Active,Not Applicable,ML81546067,16040 Overlook Drive,13850000,62,7,5,5,2,11507,131551.2,Los Gatos,6
Active,Not Applicable,ML81483172,26880 Elena Road,12888888,250,8,5,7,1,8232,51309,Los Altos Hills,0
Active,Not Applicable,ML81548985,16401 MATILIJA Drive,11999000,36,9,6,6,3,14000,59677.2,Los Gatos,11
Active,Not Applicable,ML81561786,26000 Westwind Way,11500000,15,5,5,4,1,7213,125801.28,Los Altos Hills,54
Active,Not Applicable,ML81551047,363 Melville Avenue,11000000,20,7,5,5,2,6177,14123,Palo Alto,112
Active,Not Applicable,ML81518017,2215 Liberata Drive,10888000,153,6,4,4,2,7490,486054,Morgan Hill,10
Active,Not Applicable,ML81521589,26991 Taaffe Road,10888000,124,9,6,7,2,7968,52707,Los Altos Hills,0
Active,Not Applicable,ML81550154,24970 Okeefe Lane,10800000,27,8,6,6,2,10300,80586,Los Altos Hills,26
Pending,Not Applicable,ML81562168,2203 South Court,10495000,5,7,6,6,1,5289,10395,Palo Alto,0
Active,Not Applicable,ML81514369,25617 W Fremont Road,8999888,129,7,5,5,2,7535,68389,Los Altos Hills,16
Active,Not Applicable,ML81518568,15880 Glen Una Drive,8995000,148,5,6,4,1,6583,286105,Los Gatos,74
Active,Not Applicable,ML81549252,405 Marlowe Street,8995000,34,7,6,6,1,6075,10450,Palo Alto,1
Active,Not Applicable,ML81517030,14123 Tracy Court,8888000,159,6,7,6,0,5900,57783,Los Altos Hills,13
Active,Not Applicable,ML81457311,25055 La Loma Drive,8000000,903,7,4,4,3,7614,43124,Los Altos Hills,0
Active,Not Applicable,ML81523046,27886 Via Ventana Way,7998000,111,6,5,5,1,6362,106722,Los Altos Hills,15
Active,Not Applicable,ML80788192,14050 SHANNON Road,7988000,2899,9,6,7,2,6138,1373446,Los Gatos,16
Active,Not Applicable,ML81547756,13430 Country Way ,7680000,48,6,6,6,0,6905,146797.2,Los Altos Hills,27
Active,Not Applicable,ML81547302,15781 Hidden Hill Road,7588000,51,6,5,5,1,6500,39465.36,Los Gatos,1
Active,Not Applicable,ML81563221,151 Seale Avenue,6998000,6,5,6,4,1,4468,7500,Palo Alto,0
